"No.","Time","signal strength","Source","Destination","Info","Length"
"77","3.259098042","-62 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x1163, seq=6897/61722, ttl=64 (no response found!)","161"
"78","3.259138247","-61 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x1163, seq=6897/61722, ttl=64 (no response found!)","161"
"79","3.422765333","","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0cc2, seq=6856/51226, ttl=64 (no response found!)","162"
"80","3.422795111","-54 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x1163, seq=6897/61722, ttl=64 (no response found!)","172"
"81","3.423056622","","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0cc2, seq=6856/51226, ttl=64 (no response found!)","162"
"82","3.423082480","-54 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x1163, seq=6897/61722, ttl=64 (reply in 89)","172"
"83","3.424048455","-55 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0cc2, seq=6856/51226, ttl=64 (no response found!)","161"
"84","3.424072145","-55 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0cc2, seq=6856/51226, ttl=64 (no response found!)","161"
"85","3.424089113","-55 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0cc2, seq=6856/51226, ttl=64 (no response found!)","161"
"86","3.424862109","-52 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0cc2, seq=6856/51226, ttl=64 (no response found!)","161"
"87","3.424887262","-55 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0cc2, seq=6856/51226, ttl=64 (reply in 88)","161"
"88","3.426344528","-71 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0cc2, seq=6856/51226, ttl=64 (request in 87)","172"
"89","3.426770903","-71 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x1163, seq=6897/61722, ttl=64 (request in 82)","172"
"90","3.428554486","-55 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x1163, seq=6897/61722, ttl=64","161"
"91","3.510895774","-52 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0cc2, seq=6856/51226, ttl=64","161"
"92","3.761831004","-52 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0cc2, seq=6857/51482, ttl=64 (no response found!)","161"
"93","3.761855554","-52 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0cc2, seq=6857/51482, ttl=64 (no response found!)","161"
"94","3.761876444","-50 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0cc2, seq=6857/51482, ttl=64 (reply in 96)","161"
"96","3.765436711","-72 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0cc2, seq=6857/51482, ttl=64 (request in 94)","172"
"97","3.766963320","-53 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0cc2, seq=6857/51482, ttl=64","161"
"104","4.260512067","-60 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x1163, seq=6898/61978, ttl=64 (no response found!)","161"
"105","4.343685272","-52 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x1163, seq=6898/61978, ttl=64 (no response found!)","161"
"106","4.343713806","-51 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x1163, seq=6898/61978, ttl=64 (no response found!)","161"
"107","4.343730924","-52 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x1163, seq=6898/61978, ttl=64 (reply in 108)","161"
"108","4.345946689","-72 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x1163, seq=6898/61978, ttl=64 (request in 107)","172"
"109","4.348285832","-53 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x1163, seq=6898/61978, ttl=64","161"
"110","4.761185034","","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0cc2, seq=6858/51738, ttl=64 (no response found!)","162"
"112","4.761243591","","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0cc2, seq=6858/51738, ttl=64 (no response found!)","162"
"114","4.761832550","-64 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0cc2, seq=6858/51738, ttl=64 (no response found!)","172"
"120","4.769603833","-53 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0cc2, seq=6858/51738, ttl=64 (no response found!)","161"
"121","4.772305436","-52 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0cc2, seq=6858/51738, ttl=64 (no response found!)","161"
"122","4.772353659","-52 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0cc2, seq=6858/51738, ttl=64 (no response found!)","161"
"123","4.773564561","-53 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0cc2, seq=6858/51738, ttl=64 (no response found!)","161"
"126","4.775650793","-50 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0cc2, seq=6858/51738, ttl=64 (reply in 128)","161"
"128","4.778042398","-71 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0cc2, seq=6858/51738, ttl=64 (request in 126)","172"
"129","4.779136760","-53 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x0cc2, seq=6858/51738, ttl=64","161"
"135","5.262422658","-60 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x1163, seq=6899/62234, ttl=64 (no response found!)","161"
"136","5.573716316","-51 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x1163, seq=6899/62234, ttl=64 (reply in 137)","161"
"137","5.576215599","-72 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x1163, seq=6899/62234, ttl=64 (request in 136)","172"
"138","5.577737773","-51 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x1163, seq=6899/62234, ttl=64","161"
"139","5.757059145","-64 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0cc2, seq=6859/51994, ttl=64 (no response found!)","172"
"140","5.768903717","-51 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0cc2, seq=6859/51994, ttl=64 (no response found!)","161"
"141","5.768909588","-52 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0cc2, seq=6859/51994, ttl=64 (no response found!)","161"
"142","5.768914054","-52 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0cc2, seq=6859/51994, ttl=64 (no response found!)","161"
"143","5.768918743","-51 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0cc2, seq=6859/51994, ttl=64 (no response found!)","161"
"144","5.770164225","-53 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0cc2, seq=6859/51994, ttl=64 (no response found!)","161"
"145","5.770174591","-53 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x0cc2, seq=6859/51994, ttl=64 (reply in 146)","161"
