"No.","Time","signal strength","Source","Destination","Info","Length"
"8207","381.998798237","-52 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x141d, seq=901/34051, ttl=64","161"
"8214","382.591619150","-52 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=731/56066, ttl=64","172"
"8216","382.591895527","-54 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=731/56066, ttl=64","172"
"8218","382.592330683","-52 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=731/56066, ttl=64","172"
"8221","382.957989918","-61 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=902/34307, ttl=64 (no response found!)","161"
"8227","383.214514681","","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=732/56322, ttl=64 (no response found!)","162"
"8228","383.214547548","-52 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=902/34307, ttl=64 (no response found!)","172"
"8229","383.214563552","","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=732/56322, ttl=64 (reply in 8234)","162"
"8230","383.214583431","-53 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=902/34307, ttl=64 (no response found!)","172"
"8231","383.216010523","-53 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=902/34307, ttl=64 (no response found!)","161"
"8232","383.216042455","-52 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=902/34307, ttl=64 (reply in 8235)","161"
"8234","383.368940422","-79 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=732/56322, ttl=64 (request in 8229)","172"
"8235","383.371096364","-80 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x141d, seq=902/34307, ttl=64 (request in 8232)","172"
"8236","383.373219912","-53 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x141d, seq=902/34307, ttl=64","161"
"8239","383.587882423","-52 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=732/56322, ttl=64","172"
"8240","383.598478516","-63 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=733/56578, ttl=64 (no response found!)","172"
"8241","383.598539862","-63 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=733/56578, ttl=64 (no response found!)","172"
"8242","383.722316016","-52 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=733/56578, ttl=64 (reply in 8243)","161"
"8243","383.724483027","-79 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=733/56578, ttl=64 (request in 8242)","172"
"8244","383.726623463","-54 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=733/56578, ttl=64","161"
"8245","383.958944942","-61 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=903/34563, ttl=64 (no response found!)","161"
"8253","384.599689224","-63 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=734/56834, ttl=64 (no response found!)","172"
"8254","384.964599783","-61 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=904/34819, ttl=64 (no response found!)","161"
"8258","385.364443851","","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=903/34563, ttl=64 (reply in 8263)","162"
"8259","385.364482101","","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=734/56834, ttl=64 (reply in 8265)","162"
"8260","385.364503226","-52 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=904/34819, ttl=64 (reply in 8266)","172"
"8263","385.504977939","-79 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x141d, seq=903/34563, ttl=64 (request in 8258)","172"
"8264","385.506585647","-52 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x141d, seq=903/34563, ttl=64","161"
"8265","385.508116738","-80 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=734/56834, ttl=64 (request in 8259)","172"
"8266","385.509166573","-80 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x141d, seq=904/34819, ttl=64 (request in 8260)","172"
"8267","385.514044906","-53 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x141d, seq=904/34819, ttl=64","161"
"8271","385.600551564","-52 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=734/56834, ttl=64","172"
"8272","385.602939629","-63 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=735/57090, ttl=64 (no response found!)","172"
"8274","385.774524177","-53 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=735/57090, ttl=64 (reply in 8275)","161"
"8275","385.782947719","-52 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=735/57090, ttl=64 (request in 8274)","161"
"8276","385.782981829","-52 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=735/57090, ttl=64","161"
"8277","385.782998437","-52 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x0f3d, seq=735/57090, ttl=64","161"
"8278","385.965499456","-61 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=905/35075, ttl=64 (no response found!)","161"
"8279","385.972163788","-52 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=905/35075, ttl=64 (reply in 8280)","161"
"8280","385.978578697","-52 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x141d, seq=905/35075, ttl=64 (request in 8279)","161"
"8290","386.604123591","-63 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=736/57346, ttl=64 (no response found!)","172"
"8293","386.966725267","-61 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=906/35331, ttl=64 (no response found!)","161"
"8298","387.514617620","","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=736/57346, ttl=64 (no response found!)","162"
"8299","387.514651520","-52 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=906/35331, ttl=64 (no response found!)","172"
"8300","387.515283202","","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x0f3d, seq=736/57346, ttl=64 (reply in 8307)","162"
"8301","387.515315853","-52 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x141d, seq=906/35331, ttl=64 (reply in 8309)","172"
