"No.","Time","signal strength","Source","Destination","Info","Length"
"101","6.227607496","-61 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0743, seq=109/27904, ttl=64 (no response found!)","161"
"102","6.229362035","-53 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0743, seq=109/27904, ttl=64 (reply in 103)","161"
"103","6.236877073","-53 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x0743, seq=109/27904, ttl=64 (request in 102)","161"
"109","7.016037758","-62 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x063d, seq=76/19456, ttl=64 (no response found!)","172"
"110","7.043987798","-53 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x063d, seq=76/19456, ttl=64 (reply in 115)","161"
"115","7.180907891","-54 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x063d, seq=76/19456, ttl=64 (request in 110)","161"
"116","7.228999162","-61 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0743, seq=110/28160, ttl=64 (no response found!)","161"
"117","7.230466127","-54 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0743, seq=110/28160, ttl=64 (reply in 118)","161"
"118","7.233342583","-55 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x0743, seq=110/28160, ttl=64 (request in 117)","161"
"123","8.068180000","-54 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x063d, seq=77/19712, ttl=64 (reply in 124)","161"
"124","8.076006442","-55 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x063d, seq=77/19712, ttl=64 (request in 123)","161"
"125","8.076030581","-54 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x063d, seq=77/19712, ttl=64","161"
"126","8.078435439","-55 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x063d, seq=77/19712, ttl=64","161"
"127","8.230304743","-62 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0743, seq=111/28416, ttl=64 (no response found!)","161"
"128","8.231306543","-52 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0743, seq=111/28416, ttl=64 (reply in 129)","161"
"129","8.239377832","-54 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x0743, seq=111/28416, ttl=64 (request in 128)","161"
"138","9.019100645","-62 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x063d, seq=78/19968, ttl=64 (no response found!)","172"
"139","9.091856892","-54 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x063d, seq=78/19968, ttl=64 (reply in 146)","161"
"143","9.231411615","-61 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0743, seq=112/28672, ttl=64 (no response found!)","161"
"144","9.232466764","-53 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0743, seq=112/28672, ttl=64 (reply in 145)","161"
"145","9.234550879","-53 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x0743, seq=112/28672, ttl=64 (request in 144)","161"
"146","9.295514264","-53 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x063d, seq=78/19968, ttl=64 (request in 139)","161"
"152","10.020188643","-63 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x063d, seq=79/20224, ttl=64 (no response found!)","172"
"153","10.020752218","-54 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x063d, seq=79/20224, ttl=64 (reply in 154)","172"
"154","10.023837270","-54 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x063d, seq=79/20224, ttl=64 (request in 153)","161"
"158","10.232951703","-62 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0743, seq=113/28928, ttl=64 (no response found!)","161"
"159","10.242636795","-54 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0743, seq=113/28928, ttl=64 (reply in 160)","161"
"160","10.245498177","-53 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x0743, seq=113/28928, ttl=64 (request in 159)","161"
"166","11.017019799","-63 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x063d, seq=80/20480, ttl=64 (no response found!)","172"
"167","11.018448279","-53 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x063d, seq=80/20480, ttl=64 (reply in 168)","161"
"168","11.022579942","-54 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x063d, seq=80/20480, ttl=64 (request in 167)","161"
"172","11.234665059","-61 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0743, seq=114/29184, ttl=64 (no response found!)","161"
"173","11.234689444","-61 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0743, seq=114/29184, ttl=64 (no response found!)","161"
"174","11.345445890","-53 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0743, seq=114/29184, ttl=64 (reply in 175)","161"
"175","11.361922815","-54 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x0743, seq=114/29184, ttl=64 (request in 174)","161"
"176","11.362658365","-51 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x0743, seq=114/29184, ttl=64","158"
"177","11.363862500","-52 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x0743, seq=114/29184, ttl=64","158"
"178","11.366324091","-53 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x0743, seq=114/29184, ttl=64","158"
"185","12.029517438","-63 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x063d, seq=81/20736, ttl=64 (no response found!)","172"
"186","12.029839061","-63 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x063d, seq=81/20736, ttl=64 (no response found!)","172"
"187","12.061310509","-54 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x063d, seq=81/20736, ttl=64 (reply in 188)","161"
"188","12.069445492","-54 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x063d, seq=81/20736, ttl=64 (request in 187)","161"
"189","12.235823439","-61 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0743, seq=115/29440, ttl=64 (no response found!)","161"
"190","12.237435975","-61 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0743, seq=115/29440, ttl=64 (no response found!)","161"
