"No.","Time","signal strength","Source","Destination","Info","Length"
"87","3.844517491","-55 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=37/9472, ttl=64 (reply in 89)","172"
"88","3.946651435","-70 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=82/20992, ttl=64 (request in 86)","158"
"89","3.948620363","-71 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x085c, seq=37/9472, ttl=64 (request in 87)","158"
"90","3.948657980","-55 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=82/20992, ttl=64","161"
"91","3.948686053","-54 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x085c, seq=37/9472, ttl=64","161"
"99","4.779389443","-63 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=83/21248, ttl=64 (no response found!)","172"
"100","4.838129042","-63 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=38/9728, ttl=64 (no response found!)","161"
"101","4.866547665","","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=83/21248, ttl=64 (reply in 103)","162"
"102","4.866575505","-54 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=38/9728, ttl=64 (reply in 104)","172"
"103","4.969232010","-69 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=83/21248, ttl=64 (request in 101)","158"
"104","4.971387718","-70 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x085c, seq=38/9728, ttl=64 (request in 102)","158"
"105","4.971425658","-56 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=83/21248, ttl=64","161"
"106","4.971452928","-54 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x085c, seq=38/9728, ttl=64","161"
"119","5.780153754","-63 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=84/21504, ttl=64 (no response found!)","172"
"120","5.782338552","-54 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=84/21504, ttl=64 (reply in 124)","161"
"121","5.844647795","-62 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=39/9984, ttl=64 (no response found!)","161"
"122","5.856902379","-53 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=39/9984, ttl=64 (reply in 123)","161"
"123","5.878441438","-69 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x085c, seq=39/9984, ttl=64 (request in 122)","158"
"124","5.881113762","-52 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x070c, seq=84/21504, ttl=64 (request in 120)","161"
"125","5.881144055","-55 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x085c, seq=39/9984, ttl=64","161"
"135","6.781992238","-63 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=85/21760, ttl=64 (no response found!)","172"
"136","6.815788162","-53 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=85/21760, ttl=64 (no response found!)","161"
"137","6.815825250","-54 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=85/21760, ttl=64 (no response found!)","161"
"138","6.817848572","-54 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=85/21760, ttl=64 (no response found!)","161"
"139","6.817887957","-54 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=85/21760, ttl=64 (no response found!)","161"
"140","6.817919858","-53 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=85/21760, ttl=64 (no response found!)","161"
"141","6.817946242","-54 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=85/21760, ttl=64 (no response found!)","161"
"142","6.819422012","-54 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x070c, seq=85/21760, ttl=64 (reply in 146)","158"
"143","6.841128358","-62 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x085c, seq=40/10240, ttl=64 (no response found!)","161"
