S1A1(6);S2A1(6);S1H2(6);S2H2(6)
-63 dBm;-54 dBm;-63 dBm;-54 dBm
-53 dBm;-71 dBm;-54 dBm;-62 dBm
-73 dBm;-71 dBm;-47 dBm;-53 dBm
-54 dBm;-71 dBm;-54 dBm;-47 dBm
-63 dBm;-71 dBm;-53 dBm;-53 dBm
-54 dBm;-71 dBm;-63 dBm;-62 dBm
-63 dBm;-71 dBm;-55 dBm;-54 dBm
-54 dBm;-70 dBm;-47 dBm;-47 dBm
-72 dBm;-72 dBm;-54 dBm;-56 dBm
-71 dBm;-71 dBm;-63 dBm;-61 dBm
-71 dBm;-61 dBm;-54 dBm;-51 dBm
-71 dBm;-54 dBm;-47 dBm;-48 dBm
-71 dBm;-54 dBm;-54 dBm;-52 dBm
-72 dBm;-54 dBm;-63 dBm;-63 dBm
-71 dBm;-54 dBm;-54 dBm;-51 dBm
-71 dBm;-53 dBm;-47 dBm;-49 dBm
-71 dBm;-69 dBm;-54 dBm;-51 dBm
-72 dBm;-70 dBm;-54 dBm;-63 dBm
-71 dBm;-69 dBm;-63 dBm;-54 dBm
-71 dBm;-70 dBm;-54 dBm;-48 dBm
-72 dBm;-70 dBm;-47 dBm;-55 dBm
-72 dBm;-71 dBm;-54 dBm;-62 dBm
-63 dBm;-69 dBm;-63 dBm;-54 dBm
-53 dBm;-70 dBm;-54 dBm;-49 dBm
-72 dBm;-70 dBm;-54 dBm;-54 dBm
-54 dBm;-71 dBm;-54 dBm;-63 dBm
-63 dBm;-71 dBm;-54 dBm;-54 dBm
-54 dBm;-70 dBm;-53 dBm;-48 dBm
-71 dBm;-71 dBm;-54 dBm;-54 dBm
-55 dBm;-71 dBm;-46 dBm;-62 dBm
-55 dBm;-71 dBm;-54 dBm;-54 dBm
-53 dBm;-63 dBm;-63 dBm;-48 dBm
-64 dBm;-73 dBm;-53 dBm;-53 dBm
-63 dBm;-55 dBm;-47 dBm;-62 dBm
-51 dBm;-63 dBm;-54 dBm;-55 dBm
-53 dBm;-61 dBm;-63 dBm;-48 dBm
-54 dBm;-54 dBm;-63 dBm;-53 dBm
-62 dBm;-55 dBm;-54 dBm;-62 dBm
-70 dBm;-55 dBm;-47 dBm;-55 dBm
-71 dBm;-53 dBm;-53 dBm;-48 dBm
-71 dBm;-53 dBm;-63 dBm;-53 dBm
-71 dBm;-55 dBm;-54 dBm;-62 dBm
-71 dBm;-53 dBm;-48 dBm;-55 dBm
-71 dBm;-54 dBm;-53 dBm;-48 dBm
-72 dBm;-54 dBm;-64 dBm;-53 dBm
-72 dBm;-54 dBm;-54 dBm;-62 dBm
-71 dBm;-54 dBm;-48 dBm;-55 dBm
-72 dBm;-53 dBm;-55 dBm;-48 dBm
-54 dBm;-53 dBm;-63 dBm;-53 dBm
-63 dBm;-54 dBm;-51 dBm;-61 dBm
-63 dBm;-54 dBm;-48 dBm;-54 dBm
-55 dBm;-53 dBm;-52 dBm;-48 dBm
-70 dBm;-54 dBm;-63 dBm;-53 dBm
-70 dBm;-71 dBm;-54 dBm;-62 dBm
-54 dBm;-71 dBm;-54 dBm;-54 dBm
-64 dBm;-71 dBm;-47 dBm;-47 dBm
-63 dBm;-71 dBm;-55 dBm;-55 dBm
-63 dBm;-72 dBm;-55 dBm;-62 dBm
-54 dBm;-55 dBm;-64 dBm;-53 dBm
-72 dBm;-62 dBm;-55 dBm;-48 dBm
-71 dBm;-73 dBm;-47 dBm;-54 dBm
-71 dBm;-72 dBm;-55 dBm;-62 dBm
-72 dBm;-54 dBm;-63 dBm;-54 dBm
-54 dBm;-62 dBm;-55 dBm;-48 dBm
-63 dBm;-53 dBm;-48 dBm;-55 dBm
-54 dBm;-71 dBm;-54 dBm;-62 dBm
-71 dBm;-53 dBm;-54 dBm;-54 dBm
-53 dBm;-62 dBm;-63 dBm;-49 dBm
-54 dBm;-55 dBm;-54 dBm;-54 dBm
-54 dBm;-54 dBm;-48 dBm;-62 dBm
-53 dBm;-73 dBm;-53 dBm;-53 dBm
-54 dBm;-73 dBm;-64 dBm;-48 dBm
-63 dBm;-72 dBm;-55 dBm;-53 dBm
-55 dBm;-72 dBm;-48 dBm;-62 dBm
-53 dBm;-72 dBm;-55 dBm;-53 dBm
-54 dBm;-72 dBm;-69 dBm;-49 dBm
-54 dBm;-72 dBm;-56 dBm;-54 dBm
-63 dBm;-71 dBm;-48 dBm;-62 dBm
-55 dBm;-54 dBm;-54 dBm;-55 dBm
-71 dBm;-62 dBm;-69 dBm;-49 dBm
-54 dBm;-62 dBm;-55 dBm;-54 dBm
-63 dBm;-62 dBm;-40 dBm;-63 dBm
-54 dBm;-70 dBm;-53 dBm;-54 dBm
-72 dBm;-53 dBm;-69 dBm;-48 dBm
-55 dBm;-54 dBm;-54 dBm;-54 dBm
-63 dBm;-53 dBm;-48 dBm;-62 dBm
-54 dBm;-53 dBm;-54 dBm;-55 dBm
-54 dBm;-71 dBm;-68 dBm;-49 dBm
-71 dBm;-70 dBm;-54 dBm;-54 dBm
-54 dBm;-70 dBm;-48 dBm;-54 dBm
-63 dBm;-70 dBm;-54 dBm;-53 dBm
-54 dBm;-70 dBm;-53 dBm;-63 dBm
-73 dBm;-70 dBm;-68 dBm;-54 dBm
-54 dBm;-71 dBm;-54 dBm;-49 dBm
-63 dBm;-71 dBm;-49 dBm;-54 dBm
-54 dBm;-71 dBm;-54 dBm;-62 dBm
-73 dBm;-71 dBm;-53 dBm;-54 dBm
-53 dBm;-71 dBm;-54 dBm;-49 dBm
-63 dBm;-70 dBm;-53 dBm;-53 dBm
-54 dBm;-71 dBm;-54 dBm;-62 dBm
-73 dBm;-71 dBm;-55 dBm;-54 dBm
-54 dBm;-62 dBm;-67 dBm;-49 dBm
-63 dBm;-61 dBm;-54 dBm;-53 dBm
-53 dBm;-61 dBm;-48 dBm;-62 dBm
-73 dBm;-61 dBm;-55 dBm;-54 dBm
-54 dBm;-61 dBm;-64 dBm;-49 dBm
-63 dBm;-62 dBm;-54 dBm;-54 dBm
-54 dBm;-61 dBm;-48 dBm;-62 dBm
-54 dBm;-61 dBm;-54 dBm;-55 dBm
-73 dBm;-71 dBm;-63 dBm;-54 dBm
-54 dBm;-71 dBm;-54 dBm;-54 dBm
-63 dBm;-71 dBm;-55 dBm;-55 dBm
-54 dBm;-71 dBm;-53 dBm;-54 dBm
-73 dBm;-71 dBm;-54 dBm;-49 dBm
-54 dBm;-72 dBm;-53 dBm;-54 dBm
-63 dBm;-71 dBm;-48 dBm;-63 dBm
-54 dBm;-71 dBm;-54 dBm;-54 dBm
-73 dBm;-71 dBm;-63 dBm;-50 dBm
-54 dBm;-72 dBm;-53 dBm;-54 dBm
-63 dBm;-71 dBm;-48 dBm;-62 dBm
-54 dBm;-71 dBm;-53 dBm;-55 dBm
-73 dBm;-71 dBm;-63 dBm;-50 dBm
-54 dBm;-71 dBm;-54 dBm;-54 dBm
-63 dBm;-71 dBm;-48 dBm;-54 dBm
-63 dBm;-71 dBm;-54 dBm;-50 dBm
-63 dBm;-62 dBm;-63 dBm;-53 dBm
-54 dBm;-54 dBm;-54 dBm;-62 dBm
-73 dBm;-71 dBm;-49 dBm;-55 dBm
-73 dBm;-54 dBm;-53 dBm;-50 dBm
-54 dBm;-62 dBm;-63 dBm;-54 dBm
-63 dBm;-53 dBm;-55 dBm;-62 dBm
-54 dBm;-71 dBm;-49 dBm;-54 dBm
-73 dBm;-53 dBm;-55 dBm;-50 dBm
-54 dBm;-54 dBm;-63 dBm;-53 dBm
-54 dBm;-62 dBm;-54 dBm;-63 dBm
-63 dBm;-73 dBm;-48 dBm;-54 dBm
-54 dBm;-73 dBm;-55 dBm;-50 dBm
-73 dBm;-73 dBm;-53 dBm;-55 dBm
-55 dBm;-72 dBm;-53 dBm;-54 dBm
-63 dBm;-72 dBm;-55 dBm;-54 dBm
-54 dBm;-72 dBm;-63 dBm;-63 dBm
-73 dBm;-72 dBm;-54 dBm;-53 dBm
-55 dBm;-71 dBm;-49 dBm;-50 dBm
-63 dBm;-71 dBm;-53 dBm;-54 dBm
-55 dBm;-71 dBm;-63 dBm;-62 dBm
-73 dBm;-72 dBm;-54 dBm;-54 dBm
-54 dBm;-71 dBm;-49 dBm;-50 dBm
-63 dBm;-71 dBm;-54 dBm;-54 dBm
-54 dBm;-71 dBm;-63 dBm;-62 dBm
-74 dBm;-53 dBm;-54 dBm;-55 dBm
-54 dBm;-61 dBm;-49 dBm;-50 dBm
-63 dBm;-62 dBm;-53 dBm;-54 dBm
-54 dBm;-62 dBm;-63 dBm;-63 dBm
-74 dBm;-62 dBm;-54 dBm;-55 dBm
-54 dBm;-61 dBm;-49 dBm;-50 dBm
-63 dBm;-54 dBm;-53 dBm;-53 dBm
-54 dBm;-54 dBm;-53 dBm;-63 dBm
-54 dBm;-70 dBm;-63 dBm;-54 dBm
-54 dBm;-54 dBm;-54 dBm;-50 dBm
-73 dBm;-61 dBm;-48 dBm;-55 dBm
-54 dBm;-62 dBm;-53 dBm;-54 dBm
-63 dBm;-61 dBm;-64 dBm;-61 dBm
-53 dBm;-54 dBm;-54 dBm;-54 dBm
-55 dBm;-73 dBm;-49 dBm;-51 dBm
-55 dBm;-73 dBm;-54 dBm;-55 dBm
-55 dBm;-73 dBm;-53 dBm;-61 dBm
-54 dBm;-73 dBm;-54 dBm;-51 dBm
-54 dBm;-54 dBm;-53 dBm;-49 dBm
-73 dBm;-55 dBm;-54 dBm;-52 dBm
-54 dBm;-61 dBm;-55 dBm;-61 dBm
-63 dBm;-54 dBm;-63 dBm;-55 dBm
-54 dBm;-72 dBm;-54 dBm;-51 dBm
-73 dBm;-54 dBm;-49 dBm;-54 dBm
-54 dBm;-54 dBm;-54 dBm;-62 dBm
-64 dBm;-61 dBm;-55 dBm;-54 dBm
-56 dBm;-54 dBm;-55 dBm;-50 dBm
-73 dBm;-73 dBm;-64 dBm;-54 dBm
-54 dBm;-54 dBm;-54 dBm;-54 dBm
-51 dBm;-62 dBm;-54 dBm;-50 dBm
-53 dBm;-74 dBm;-54 dBm;-54 dBm
-52 dBm;-54 dBm;-54 dBm;-62 dBm
-62 dBm;-54 dBm;-54 dBm;-54 dBm
-50 dBm;-63 dBm;-55 dBm;-51 dBm
-74 dBm;-54 dBm;-54 dBm;-54 dBm
-52 dBm;-73 dBm;-50 dBm;-63 dBm
-63 dBm;-54 dBm;-54 dBm;-53 dBm
-52 dBm;-63 dBm;-64 dBm;-51 dBm
-52 dBm;-73 dBm;-54 dBm;-54 dBm
-73 dBm;-74 dBm;-50 dBm;-62 dBm
-54 dBm;-54 dBm;-54 dBm;-55 dBm
-64 dBm;-63 dBm;-64 dBm;-50 dBm
-54 dBm;-54 dBm;-53 dBm;-54 dBm
-73 dBm;-73 dBm;-53 dBm;-63 dBm
-55 dBm;-54 dBm;-55 dBm;-55 dBm
-63 dBm;-63 dBm;-49 dBm;-50 dBm
-54 dBm;-54 dBm;-53 dBm;-54 dBm
-74 dBm;-73 dBm;-63 dBm;-53 dBm
-54 dBm;-54 dBm;-53 dBm;-51 dBm
-63 dBm;-62 dBm;-50 dBm;-53 dBm
-55 dBm;-73 dBm;-54 dBm;-62 dBm
-53 dBm;-54 dBm;-63 dBm;-54 dBm
-55 dBm;-62 dBm;-54 dBm;-51 dBm
-54 dBm;-54 dBm;-50 dBm;-55 dBm
-74 dBm;-73 dBm;-54 dBm;-62 dBm
-54 dBm;-53 dBm;-63 dBm;-55 dBm
-64 dBm;-54 dBm;-54 dBm;-50 dBm
-54 dBm;-62 dBm;-50 dBm;-53 dBm
-73 dBm;-73 dBm;-54 dBm;-62 dBm
-54 dBm;-54 dBm;-64 dBm;-54 dBm
-54 dBm;-73 dBm;-53 dBm;-51 dBm
-70 dBm;-54 dBm;-50 dBm;-55 dBm
-53 dBm;-63 dBm;-55 dBm;-62 dBm
-54 dBm;-53 dBm;-64 dBm;-55 dBm
-55 dBm;-73 dBm;-55 dBm;-52 dBm
-54 dBm;-53 dBm;-50 dBm;-54 dBm
-75 dBm;-63 dBm;-53 dBm;-62 dBm
-54 dBm;-74 dBm;-54 dBm;-54 dBm
-69 dBm;-53 dBm;-63 dBm;-52 dBm
-55 dBm;-63 dBm;-53 dBm;-54 dBm
-53 dBm;-55 dBm;-50 dBm;-54 dBm
-53 dBm;-73 dBm;-54 dBm;-63 dBm
-55 dBm;-54 dBm;-55 dBm;-55 dBm
-55 dBm;-63 dBm;-54 dBm;-51 dBm
-54 dBm;-74 dBm;-63 dBm;-55 dBm
-53 dBm;-54 dBm;-54 dBm;-63 dBm
-55 dBm;-62 dBm;-50 dBm;-54 dBm
-73 dBm;-74 dBm;-50 dBm;-52 dBm
-55 dBm;-54 dBm;-53 dBm;-54 dBm
-67 dBm;-62 dBm;-63 dBm;-63 dBm
-53 dBm;-54 dBm;-63 dBm;-54 dBm
-55 dBm;-73 dBm;-54 dBm;-52 dBm
-53 dBm;-53 dBm;-51 dBm;-54 dBm
-53 dBm;-62 dBm;-53 dBm;-62 dBm
-53 dBm;-54 dBm;-55 dBm;-55 dBm
-54 dBm;-62 dBm;-55 dBm;-52 dBm
-74 dBm;-74 dBm;-54 dBm;-54 dBm
-53 dBm;-54 dBm;-53 dBm;-63 dBm
-67 dBm;-61 dBm;-53 dBm;-54 dBm
-54 dBm;-73 dBm;-63 dBm;-52 dBm
-54 dBm;-52 dBm;-63 dBm;-54 dBm
-54 dBm;-61 dBm;-54 dBm;-62 dBm
-72 dBm;-50 dBm;-51 dBm;-54 dBm
-54 dBm;-74 dBm;-52 dBm;-52 dBm
-54 dBm;-52 dBm;-51 dBm;-54 dBm
-53 dBm;-62 dBm;-50 dBm;-62 dBm
-67 dBm;-73 dBm;-52 dBm;-54 dBm
-55 dBm;-50 dBm;-63 dBm;-53 dBm
-74 dBm;-62 dBm;-54 dBm;-52 dBm
-54 dBm;-73 dBm;-51 dBm;-54 dBm
-53 dBm;-54 dBm;-55 dBm;-62 dBm
-54 dBm;-62 dBm;-63 dBm;-54 dBm
-55 dBm;-74 dBm;-54 dBm;-53 dBm
-54 dBm;-55 dBm;-50 dBm;-54 dBm
-55 dBm;-62 dBm;-54 dBm;-62 dBm
-55 dBm;-55 dBm;-64 dBm;-55 dBm
-54 dBm;-54 dBm;-54 dBm;-52 dBm
-68 dBm;-74 dBm;-50 dBm;-53 dBm
-54 dBm;-54 dBm;-54 dBm;-62 dBm
-73 dBm;-62 dBm;-54 dBm;-55 dBm
-53 dBm;-74 dBm;-53 dBm;-52 dBm
-55 dBm;-54 dBm;-63 dBm;-54 dBm
-55 dBm;-62 dBm;-53 dBm;-63 dBm
-55 dBm;-76 dBm;-51 dBm;-53 dBm
-54 dBm;-55 dBm;-53 dBm;-53 dBm
-64 dBm;-62 dBm;-63 dBm;-54 dBm
-55 dBm;-55 dBm;-54 dBm;-63 dBm
-74 dBm;-74 dBm;-51 dBm;-55 dBm
-54 dBm;-54 dBm;-54 dBm;-53 dBm
-64 dBm;-63 dBm;-54 dBm;-54 dBm
-54 dBm;-54 dBm;-53 dBm;-63 dBm
-74 dBm;-53 dBm;-55 dBm;-53 dBm
-74 dBm;-54 dBm;-53 dBm;-53 dBm
-73 dBm;-55 dBm;-54 dBm;-55 dBm
-54 dBm;-55 dBm;-63 dBm;-62 dBm
-54 dBm;-55 dBm;-53 dBm;-54 dBm
-73 dBm;-74 dBm;-50 dBm;-53 dBm
-63 dBm;-54 dBm;-54 dBm;-53 dBm
-54 dBm;-63 dBm;-63 dBm;-62 dBm
-74 dBm;-54 dBm;-54 dBm;-55 dBm
-55 dBm;-55 dBm;-50 dBm;-53 dBm
-63 dBm;-55 dBm;-54 dBm;-55 dBm
-54 dBm;-73 dBm;-63 dBm;-54 dBm
-53 dBm;-55 dBm;-54 dBm;-53 dBm
-54 dBm;-62 dBm;-51 dBm;-55 dBm
-74 dBm;-74 dBm;-53 dBm;-55 dBm
-54 dBm;-54 dBm;-64 dBm;-53 dBm
-63 dBm;-63 dBm;-54 dBm;-53 dBm
-53 dBm;-54 dBm;-52 dBm;-63 dBm
-74 dBm;-74 dBm;-54 dBm;-55 dBm
-73 dBm;-54 dBm;-63 dBm;-53 dBm
-54 dBm;-53 dBm;-55 dBm;-53 dBm
-63 dBm;-54 dBm;-52 dBm;-62 dBm
-54 dBm;-62 dBm;-54 dBm;-55 dBm
-55 dBm;-54 dBm;-63 dBm;-53 dBm
-55 dBm;-75 dBm;-54 dBm;-53 dBm
-71 dBm;-53 dBm;-51 dBm;-40 dBm
-53 dBm;-63 dBm;-55 dBm;-54 dBm
-63 dBm;-74 dBm;-63 dBm;-62 dBm
-54 dBm;-54 dBm;-56 dBm;-55 dBm
-54 dBm;-63 dBm;-51 dBm;-53 dBm
-72 dBm;-73 dBm;-54 dBm;-54 dBm
-53 dBm;-54 dBm;-63 dBm;-63 dBm
-54 dBm;-63 dBm;-54 dBm;-55 dBm
-54 dBm;-54 dBm;-51 dBm;-52 dBm
-63 dBm;-74 dBm;-54 dBm;-54 dBm
-55 dBm;-54 dBm;-63 dBm;-62 dBm
-72 dBm;-62 dBm;-53 dBm;-55 dBm
-54 dBm;-53 dBm;-55 dBm;-54 dBm
-63 dBm;-74 dBm;-52 dBm;-55 dBm
-54 dBm;-53 dBm;-53 dBm;-62 dBm
-54 dBm;-63 dBm;-55 dBm;-54 dBm
-54 dBm;-70 dBm;-63 dBm;-54 dBm
-73 dBm;-55 dBm;-54 dBm;-55 dBm
-55 dBm;-62 dBm;-52 dBm;-53 dBm
-63 dBm;-73 dBm;-56 dBm;-54 dBm
-54 dBm;-54 dBm;-55 dBm;-63 dBm
-72 dBm;-54 dBm;-55 dBm;-56 dBm
-54 dBm;-62 dBm;-55 dBm;-53 dBm
-64 dBm;-53 dBm;-54 dBm;-54 dBm
-54 dBm;-73 dBm;-63 dBm;-62 dBm
-72 dBm;-73 dBm;-54 dBm;-55 dBm
-54 dBm;-54 dBm;-53 dBm;-53 dBm
-63 dBm;-63 dBm;-54 dBm;-55 dBm
-54 dBm;-54 dBm;-63 dBm;-62 dBm
-73 dBm;-73 dBm;-55 dBm;-54 dBm
-55 dBm;-54 dBm;-53 dBm;-54 dBm
-63 dBm;-62 dBm;-54 dBm;-54 dBm
-54 dBm;-73 dBm;-64 dBm;-63 dBm
-72 dBm;-54 dBm;-54 dBm;-55 dBm
-54 dBm;-62 dBm;-52 dBm;-54 dBm
-54 dBm;-73 dBm;-53 dBm;-54 dBm
-54 dBm;-54 dBm;-64 dBm;-63 dBm
-63 dBm;-62 dBm;-54 dBm;-62 dBm
-54 dBm;-54 dBm;-53 dBm;-55 dBm
-72 dBm;-73 dBm;-55 dBm;-53 dBm
-54 dBm;-53 dBm;-64 dBm;-54 dBm
-63 dBm;-62 dBm;-55 dBm;-54 dBm
-54 dBm;-73 dBm;-53 dBm;-54 dBm
-54 dBm;-55 dBm;-55 dBm;-54 dBm
-73 dBm;-62 dBm;-64 dBm;-62 dBm
-54 dBm;-73 dBm;-54 dBm;-53 dBm
-63 dBm;-54 dBm;-53 dBm;-54 dBm
-55 dBm;-61 dBm;-54 dBm;-54 dBm
-54 dBm;-73 dBm;-54 dBm;-54 dBm
-72 dBm;-53 dBm;-63 dBm;-61 dBm
-55 dBm;-62 dBm;-55 dBm;-54 dBm
-63 dBm;-53 dBm;-53 dBm;-53 dBm
-54 dBm;-73 dBm;-54 dBm;-54 dBm
-72 dBm;-53 dBm;-54 dBm;-62 dBm
-54 dBm;-63 dBm;-54 dBm;-53 dBm
-64 dBm;-73 dBm;-54 dBm;-54 dBm
-54 dBm;-53 dBm;-54 dBm;-62 dBm
-72 dBm;-62 dBm;-64 dBm;-54 dBm
-54 dBm;-54 dBm;-55 dBm;-54 dBm
-63 dBm;-73 dBm;-53 dBm;-55 dBm
-54 dBm;-55 dBm;-53 dBm;-62 dBm
-73 dBm;-62 dBm;-55 dBm;-55 dBm
-54 dBm;-73 dBm;-64 dBm;-54 dBm
-64 dBm;-54 dBm;-54 dBm;-53 dBm
-55 dBm;-62 dBm;-53 dBm;-62 dBm
-65 dBm;-55 dBm;-56 dBm;-55 dBm
-54 dBm;-53 dBm;-54 dBm;-55 dBm
-53 dBm;-53 dBm;-54 dBm;-54 dBm
-64 dBm;-55 dBm;-63 dBm;-63 dBm
-54 dBm;-54 dBm;-53 dBm;-62 dBm
-53 dBm;-68 dBm;-53 dBm;-53 dBm
-53 dBm;-53 dBm;-63 dBm;-55 dBm
-54 dBm;-62 dBm;-54 dBm;-53 dBm
-67 dBm;-67 dBm;-53 dBm;-54 dBm
-54 dBm;-54 dBm;-54 dBm;-54 dBm
-64 dBm;-62 dBm;-63 dBm;-55 dBm
-54 dBm;-71 dBm;-54 dBm;-53 dBm
-67 dBm;-53 dBm;-53 dBm;-54 dBm
-54 dBm;-62 dBm;-54 dBm;-62 dBm
-54 dBm;-71 dBm;-63 dBm;-54 dBm
-63 dBm;-53 dBm;-55 dBm;-54 dBm
-54 dBm;-62 dBm;-53 dBm;-54 dBm
-70 dBm;-54 dBm;-54 dBm;-63 dBm
-53 dBm;-54 dBm;-54 dBm;-54 dBm
-54 dBm;-70 dBm;-55 dBm;-54 dBm
-55 dBm;-54 dBm;-55 dBm;-54 dBm
-54 dBm;-54 dBm;-54 dBm;-62 dBm
-53 dBm;-63 dBm;-53 dBm;-54 dBm
-63 dBm;-70 dBm;-54 dBm;-53 dBm
-54 dBm;-53 dBm;-54 dBm;-54 dBm
-70 dBm;-63 dBm;-54 dBm;-62 dBm
-54 dBm;-62 dBm;-54 dBm;-54 dBm
-64 dBm;-71 dBm;-64 dBm;-54 dBm
-54 dBm;-53 dBm;-54 dBm;-54 dBm
-70 dBm;-63 dBm;-53 dBm;-55 dBm
-54 dBm;-53 dBm;-55 dBm;-62 dBm
-63 dBm;-53 dBm;-63 dBm;-54 dBm
-55 dBm;-70 dBm;-55 dBm;-55 dBm
-55 dBm;-54 dBm;-53 dBm;-54 dBm
-54 dBm;-61 dBm;-53 dBm;-63 dBm
-70 dBm;-53 dBm;-63 dBm;-54 dBm
-53 dBm;-71 dBm;-56 dBm;-55 dBm
-63 dBm;-53 dBm;-53 dBm;-55 dBm
-55 dBm;-62 dBm;-55 dBm;-63 dBm
-71 dBm;-71 dBm;-54 dBm;-54 dBm
-54 dBm;-71 dBm;-63 dBm;-54 dBm
-64 dBm;-55 dBm;-54 dBm;-54 dBm
-53 dBm;-63 dBm;-53 dBm;-61 dBm
-70 dBm;-55 dBm;-54 dBm;-55 dBm
-54 dBm;-54 dBm;-63 dBm;-54 dBm
-63 dBm;-54 dBm;-55 dBm;-63 dBm
-54 dBm;-71 dBm;-53 dBm;-54 dBm
-70 dBm;-53 dBm;-54 dBm;-55 dBm
-54 dBm;-62 dBm;-63 dBm;-54 dBm
-63 dBm;-54 dBm;-55 dBm;-62 dBm
-54 dBm;-71 dBm;-54 dBm;-55 dBm
-70 dBm;-54 dBm;-52 dBm;-54 dBm
-54 dBm;-62 dBm;-55 dBm;-62 dBm
-64 dBm;-54 dBm;-63 dBm;-54 dBm
-64 dBm;-70 dBm;-55 dBm;-55 dBm
-54 dBm;-53 dBm;-52 dBm;-55 dBm
-71 dBm;-62 dBm;-54 dBm;-54 dBm
-53 dBm;-71 dBm;-63 dBm;-62 dBm
-64 dBm;-55 dBm;-54 dBm;-54 dBm
-54 dBm;-63 dBm;-52 dBm;-55 dBm
-71 dBm;-70 dBm;-55 dBm;-55 dBm
-54 dBm;-54 dBm;-53 dBm;-63 dBm
-63 dBm;-62 dBm;-64 dBm;-54 dBm
-54 dBm;-55 dBm;-54 dBm;-55 dBm
-70 dBm;-55 dBm;-53 dBm;-54 dBm
-54 dBm;-71 dBm;-54 dBm;-54 dBm
-63 dBm;-55 dBm;-63 dBm;-62 dBm
-54 dBm;-62 dBm;-55 dBm;-54 dBm
-70 dBm;-54 dBm;-54 dBm;-54 dBm
-54 dBm;-54 dBm;-55 dBm;-55 dBm
-64 dBm;-54 dBm;-64 dBm;-40 dBm
-54 dBm;-71 dBm;-56 dBm;-54 dBm
-71 dBm;-55 dBm;-53 dBm;-62 dBm
-56 dBm;-61 dBm;-55 dBm;-54 dBm
-55 dBm;-71 dBm;-63 dBm;-55 dBm
-63 dBm;-55 dBm;-54 dBm;-55 dBm
-54 dBm;-62 dBm;-53 dBm;-55 dBm
-70 dBm;-54 dBm;-54 dBm;-54 dBm
-55 dBm;-71 dBm;-63 dBm;-55 dBm
-63 dBm;-56 dBm;-54 dBm;-39 dBm
-54 dBm;-63 dBm;-54 dBm;-62 dBm
-55 dBm;-54 dBm;-54 dBm;-54 dBm
-71 dBm;-70 dBm;-68 dBm;-54 dBm
-54 dBm;-55 dBm;-55 dBm;-55 dBm
-64 dBm;-62 dBm;-53 dBm;-62 dBm
-54 dBm;-71 dBm;-54 dBm;-54 dBm
-54 dBm;-54 dBm;-68 dBm;-54 dBm
-55 dBm;-62 dBm;-54 dBm;-53 dBm
-56 dBm;-71 dBm;-53 dBm;-62 dBm
-55 dBm;-54 dBm;-54 dBm;-55 dBm
-69 dBm;-62 dBm;-55 dBm;-55 dBm
-51 dBm;-70 dBm;-63 dBm;-54 dBm
-54 dBm;-55 dBm;-54 dBm;-62 dBm
-55 dBm;-62 dBm;-53 dBm;-55 dBm
-53 dBm;-55 dBm;-54 dBm;-55 dBm
-54 dBm;-71 dBm;-55 dBm;-54 dBm
-63 dBm;-71 dBm;-64 dBm;-62 dBm
-54 dBm;-71 dBm;-64 dBm;-55 dBm
-67 dBm;-70 dBm;-63 dBm;-55 dBm
-53 dBm;-70 dBm;-54 dBm;-54 dBm
-55 dBm;-71 dBm;-54 dBm;-62 dBm
-63 dBm;-54 dBm;-54 dBm;-54 dBm
-54 dBm;-62 dBm;-53 dBm;-55 dBm
-71 dBm;-71 dBm;-55 dBm;-55 dBm
-54 dBm;-54 dBm;-54 dBm;-62 dBm
-64 dBm;-62 dBm;-54 dBm;-55 dBm
-55 dBm;-54 dBm;-55 dBm;-54 dBm
-71 dBm;-55 dBm;-55 dBm;-55 dBm
-55 dBm;-62 dBm;-54 dBm;-54 dBm
-55 dBm;-71 dBm;-54 dBm;-62 dBm
-64 dBm;-54 dBm;-54 dBm;-54 dBm
-54 dBm;-62 dBm;-63 dBm;-55 dBm
-71 dBm;-54 dBm;-54 dBm;-54 dBm
-56 dBm;-54 dBm;-54 dBm;-62 dBm
-54 dBm;-54 dBm;-53 dBm;-54 dBm
-54 dBm;-55 dBm;-64 dBm;-54 dBm
-54 dBm;-55 dBm;-55 dBm;-62 dBm
-54 dBm;-53 dBm;-54 dBm;-55 dBm
-63 dBm;-55 dBm;-54 dBm;-55 dBm
-54 dBm;-55 dBm;-54 dBm;-54 dBm
-70 dBm;-70 dBm;-54 dBm;-55 dBm
-54 dBm;-54 dBm;-54 dBm;-54 dBm
-63 dBm;-62 dBm;-63 dBm;-62 dBm
-54 dBm;-71 dBm;-54 dBm;-54 dBm
-70 dBm;-54 dBm;-53 dBm;-55 dBm
-55 dBm;-62 dBm;-55 dBm;-54 dBm
-63 dBm;-71 dBm;-64 dBm;-62 dBm
-54 dBm;-55 dBm;-55 dBm;-54 dBm
-71 dBm;-62 dBm;-54 dBm;-54 dBm
-54 dBm;-54 dBm;-54 dBm;-54 dBm
-64 dBm;-71 dBm;-55 dBm;-62 dBm
-54 dBm;-54 dBm;-54 dBm;-54 dBm
-71 dBm;-62 dBm;-63 dBm;-55 dBm
-54 dBm;-54 dBm;-63 dBm;-53 dBm
-63 dBm;-54 dBm;-54 dBm;-61 dBm
-54 dBm;-54 dBm;-54 dBm;-53 dBm
-55 dBm;-54 dBm;-54 dBm;-53 dBm
-55 dBm;-54 dBm;-54 dBm;-55 dBm
