S1A1(6);S2A1(6);S1H2(6);S2H2(6)
-71 dBm;-54 dBm;-54 dBm;-49 dBm
-63 dBm;-54 dBm;-63 dBm;-55 dBm
-74 dBm;-55 dBm;-54 dBm;-62 dBm
-55 dBm;-55 dBm;-49 dBm;-54 dBm
-62 dBm;-54 dBm;-54 dBm;-48 dBm
-63 dBm;-71 dBm;-63 dBm;-55 dBm
-55 dBm;-71 dBm;-54 dBm;-61 dBm
-72 dBm;-55 dBm;-49 dBm;-55 dBm
-54 dBm;-54 dBm;-55 dBm;-48 dBm
-63 dBm;-62 dBm;-63 dBm;-53 dBm
-70 dBm;-54 dBm;-54 dBm;-61 dBm
-54 dBm;-73 dBm;-48 dBm;-61 dBm
-63 dBm;-72 dBm;-54 dBm;-61 dBm
-55 dBm;-54 dBm;-63 dBm;-61 dBm
-71 dBm;-52 dBm;-54 dBm;-61 dBm
-71 dBm;-62 dBm;-48 dBm;-52 dBm
-71 dBm;-54 dBm;-55 dBm;-49 dBm
-70 dBm;-54 dBm;-63 dBm;-55 dBm
-70 dBm;-54 dBm;-54 dBm;-61 dBm
-55 dBm;-53 dBm;-49 dBm;-62 dBm
-63 dBm;-61 dBm;-55 dBm;-55 dBm
-55 dBm;-55 dBm;-55 dBm;-49 dBm
-69 dBm;-54 dBm;-54 dBm;-54 dBm
-70 dBm;-54 dBm;-62 dBm;-62 dBm
-70 dBm;-54 dBm;-63 dBm;-54 dBm
-70 dBm;-53 dBm;-53 dBm;-49 dBm
-71 dBm;-70 dBm;-49 dBm;-54 dBm
-71 dBm;-54 dBm;-54 dBm;-63 dBm
-70 dBm;-55 dBm;-63 dBm;-54 dBm
-71 dBm;-61 dBm;-55 dBm;-50 dBm
-71 dBm;-62 dBm;-49 dBm;-49 dBm
-70 dBm;-55 dBm;-55 dBm;-54 dBm
-70 dBm;-54 dBm;-63 dBm;-54 dBm
-71 dBm;-72 dBm;-63 dBm;-54 dBm
-71 dBm;-55 dBm;-62 dBm;-54 dBm
-71 dBm;-62 dBm;-62 dBm;-54 dBm
-71 dBm;-55 dBm;-54 dBm;-62 dBm
-71 dBm;-71 dBm;-49 dBm;-54 dBm
-63 dBm;-54 dBm;-49 dBm;-49 dBm
-54 dBm;-62 dBm;-53 dBm;-54 dBm
-63 dBm;-55 dBm;-63 dBm;-61 dBm
