"No.","Time","signal strength","Source","Destination","Info","Length"
"113","4.070727007","-54 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x0612, seq=420/41985, ttl=64","161"
"114","4.070766169","-54 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x057f, seq=337/20737, ttl=64","161"
"134","5.000176088","-63 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x057f, seq=338/20993, ttl=64 (no response found!)","172"
"135","5.001490059","-61 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0612, seq=421/42241, ttl=64 (no response found!)","161"
"137","5.184686622","","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x057f, seq=338/20993, ttl=64 (no response found!)","162"
"138","5.184708068","-53 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0612, seq=421/42241, ttl=64 (no response found!)","172"
"139","5.185032444","","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x057f, seq=338/20993, ttl=64 (no response found!)","162"
"140","5.185058539","-53 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0612, seq=421/42241, ttl=64 (no response found!)","172"
"141","5.185326762","","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x057f, seq=338/20993, ttl=64 (no response found!)","162"
"142","5.185352955","-53 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0612, seq=421/42241, ttl=64 (no response found!)","172"
"143","5.185604164","","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x057f, seq=338/20993, ttl=64 (no response found!)","162"
"144","5.185630279","-53 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0612, seq=421/42241, ttl=64 (no response found!)","172"
"145","5.186251730","","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x057f, seq=338/20993, ttl=64 (reply in 153)","162"
"146","5.186278314","-53 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0612, seq=421/42241, ttl=64 (reply in 155)","172"
"153","5.326648379","-62 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x057f, seq=338/20993, ttl=64 (request in 145)","172"
"154","5.328375870","-51 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x057f, seq=338/20993, ttl=64","161"
"155","5.328822485","-62 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x0612, seq=421/42241, ttl=64 (request in 146)","172"
"156","5.330835295","-52 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x0612, seq=421/42241, ttl=64","161"
"158","6.001312311","-62 dBm","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x057f, seq=339/21249, ttl=64 (no response found!)","172"
"159","6.002418494","-62 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0612, seq=422/42497, ttl=64 (no response found!)","161"
"160","6.003050084","","192.168.1.102","192.168.1.101","Echo (ping) request  id=0x057f, seq=339/21249, ttl=64 (reply in 162)","162"
"161","6.003076286","-53 dBm","192.168.1.106","192.168.1.101","Echo (ping) request  id=0x0612, seq=422/42497, ttl=64 (reply in 164)","172"
"162","6.008716101","-61 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x057f, seq=339/21249, ttl=64 (request in 160)","172"
"163","6.010923578","-53 dBm","192.168.1.101","192.168.1.102","Echo (ping) reply    id=0x057f, seq=339/21249, ttl=64","161"
"164","6.010988035","-61 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x0612, seq=422/42497, ttl=64 (request in 161)","172"
"165","6.013061053","-54 dBm","192.168.1.101","192.168.1.106","Echo (ping) reply    id=0x0612, seq=422/42497, ttl=64","161"
