S1A1(4);S2A1(4);S1F1(4);S2F1(4)
-58 dBm;-50 dBm;-56 dBm;-52 dBm
-77 dBm;-76 dBm;-56 dBm;-52 dBm
-53 dBm;-54 dBm;-56 dBm;-49 dBm
-57 dBm;-54 dBm;-50 dBm;-91 dBm
-52 dBm;-53 dBm;-51 dBm;-92 dBm
-52 dBm;-53 dBm;-51 dBm;-91 dBm
-53 dBm;-54 dBm;-52 dBm;-92 dBm
-53 dBm;-78 dBm;-51 dBm;-92 dBm
-51 dBm;-52 dBm;-57 dBm;-50 dBm
-77 dBm;-56 dBm;-50 dBm;-51 dBm
-54 dBm;-78 dBm;-94 dBm;-51 dBm
-58 dBm;-51 dBm;-90 dBm;-52 dBm
-57 dBm;-52 dBm;-53 dBm;-50 dBm
-51 dBm;-52 dBm;-52 dBm;-92 dBm
-51 dBm;-51 dBm;-90 dBm;-92 dBm
-50 dBm;-51 dBm;-52 dBm;-91 dBm
-51 dBm;-78 dBm;-91 dBm;-92 dBm
-52 dBm;-53 dBm;-53 dBm;-93 dBm
-58 dBm;-48 dBm;-53 dBm;-52 dBm
-57 dBm;-48 dBm;-53 dBm;-51 dBm
-58 dBm;-76 dBm;-54 dBm;-51 dBm
-58 dBm;-76 dBm;-54 dBm;-52 dBm
-58 dBm;-51 dBm;-56 dBm;-51 dBm
-58 dBm;-53 dBm;-55 dBm;-92 dBm
-58 dBm;-52 dBm;-56 dBm;-93 dBm
-51 dBm;-53 dBm;-55 dBm;-92 dBm
-78 dBm;-54 dBm;-56 dBm;-90 dBm
-77 dBm;-79 dBm;-56 dBm;-50 dBm
-52 dBm;-54 dBm;-57 dBm;-50 dBm
-54 dBm;-53 dBm;-54 dBm;-52 dBm
-53 dBm;-78 dBm;-55 dBm;-52 dBm
-53 dBm;-77 dBm;-55 dBm;-51 dBm
-57 dBm;-52 dBm;-56 dBm;-92 dBm
-58 dBm;-52 dBm;-56 dBm;-91 dBm
-52 dBm;-53 dBm;-55 dBm;-91 dBm
-76 dBm;-53 dBm;-56 dBm;-91 dBm
-53 dBm;-53 dBm;-55 dBm;-69 dBm
-53 dBm;-51 dBm;-56 dBm;-52 dBm
-53 dBm;-76 dBm;-56 dBm;-54 dBm
-54 dBm;-53 dBm;-55 dBm;-50 dBm
-53 dBm;-53 dBm;-55 dBm;-50 dBm
-58 dBm;-49 dBm;-56 dBm;-50 dBm
-49 dBm;-77 dBm;-55 dBm;-51 dBm
-77 dBm;-54 dBm;-54 dBm;-50 dBm
-53 dBm;-56 dBm;-56 dBm;-51 dBm
-57 dBm;-77 dBm;-56 dBm;-53 dBm
-58 dBm;-53 dBm;-55 dBm;-93 dBm
-58 dBm;-53 dBm;-55 dBm;-92 dBm
-59 dBm;-53 dBm;-57 dBm;-90 dBm
-56 dBm;-52 dBm;-55 dBm;-91 dBm
-57 dBm;-53 dBm;-54 dBm;-69 dBm
-57 dBm;-52 dBm;-55 dBm;-51 dBm
-56 dBm;-75 dBm;-56 dBm;-52 dBm
-48 dBm;-52 dBm;-56 dBm;-51 dBm
-49 dBm;-50 dBm;-55 dBm;-54 dBm
-78 dBm;-50 dBm;-55 dBm;-50 dBm
-53 dBm;-48 dBm;-56 dBm;-51 dBm
-58 dBm;-58 dBm;-56 dBm;-51 dBm
-56 dBm;-75 dBm;-56 dBm;-52 dBm
-57 dBm;-51 dBm;-56 dBm;-52 dBm
-79 dBm;-69 dBm;-55 dBm;-52 dBm
-53 dBm;-51 dBm;-54 dBm;-93 dBm
-52 dBm;-76 dBm;-56 dBm;-90 dBm
-57 dBm;-52 dBm;-57 dBm;-92 dBm
-53 dBm;-50 dBm;-56 dBm;-92 dBm
-77 dBm;-52 dBm;-55 dBm;-51 dBm
-53 dBm;-77 dBm;-57 dBm;-51 dBm
-55 dBm;-53 dBm;-55 dBm;-52 dBm
-56 dBm;-54 dBm;-55 dBm;-52 dBm
-77 dBm;-53 dBm;-57 dBm;-50 dBm
-53 dBm;-51 dBm;-57 dBm;-52 dBm
-55 dBm;-77 dBm;-56 dBm;-48 dBm
-51 dBm;-53 dBm;-51 dBm;-52 dBm
-52 dBm;-55 dBm;-50 dBm;-53 dBm
-51 dBm;-55 dBm;-92 dBm;-53 dBm
-52 dBm;-78 dBm;-52 dBm;-52 dBm
-52 dBm;-53 dBm;-56 dBm;-53 dBm
-55 dBm;-69 dBm;-50 dBm;-51 dBm
-51 dBm;-57 dBm;-53 dBm;-93 dBm
-51 dBm;-57 dBm;-56 dBm;-92 dBm
-52 dBm;-77 dBm;-48 dBm;-51 dBm
-54 dBm;-53 dBm;-49 dBm;-50 dBm
-52 dBm;-49 dBm;-49 dBm;-54 dBm
-76 dBm;-75 dBm;-48 dBm;-50 dBm
-76 dBm;-54 dBm;-51 dBm;-51 dBm
-54 dBm;-53 dBm;-93 dBm;-92 dBm
-52 dBm;-57 dBm;-91 dBm;-52 dBm
-53 dBm;-57 dBm;-91 dBm;-51 dBm
-52 dBm;-57 dBm;-93 dBm;-91 dBm
-76 dBm;-49 dBm;-92 dBm;-53 dBm
-53 dBm;-51 dBm;-56 dBm;-72 dBm
-53 dBm;-77 dBm;-50 dBm;-49 dBm
-53 dBm;-53 dBm;-51 dBm;-49 dBm
-52 dBm;-54 dBm;-51 dBm;-53 dBm
-54 dBm;-52 dBm;-51 dBm;-50 dBm
-54 dBm;-77 dBm;-50 dBm;-91 dBm
-56 dBm;-54 dBm;-93 dBm;-53 dBm
-56 dBm;-50 dBm;-92 dBm;-53 dBm
-55 dBm;-77 dBm;-94 dBm;-52 dBm
-55 dBm;-76 dBm;-92 dBm;-53 dBm
-57 dBm;-77 dBm;-55 dBm;-53 dBm
-57 dBm;-54 dBm;-51 dBm;-53 dBm
-56 dBm;-52 dBm;-50 dBm;-53 dBm
-58 dBm;-51 dBm;-52 dBm;-92 dBm
-57 dBm;-76 dBm;-51 dBm;-93 dBm
-57 dBm;-53 dBm;-53 dBm;-92 dBm
-57 dBm;-53 dBm;-92 dBm;-53 dBm
-57 dBm;-54 dBm;-94 dBm;-53 dBm
-57 dBm;-53 dBm;-94 dBm;-53 dBm
-57 dBm;-51 dBm;-93 dBm;-53 dBm
-58 dBm;-51 dBm;-90 dBm;-48 dBm
-58 dBm;-50 dBm;-56 dBm;-53 dBm
-58 dBm;-50 dBm;-50 dBm;-52 dBm
-58 dBm;-51 dBm;-91 dBm;-53 dBm
-58 dBm;-51 dBm;-91 dBm;-69 dBm
-57 dBm;-77 dBm;-91 dBm;-53 dBm
-57 dBm;-52 dBm;-92 dBm;-53 dBm
-58 dBm;-51 dBm;-93 dBm;-53 dBm
-57 dBm;-51 dBm;-93 dBm;-53 dBm
-57 dBm;-52 dBm;-58 dBm;-51 dBm
-57 dBm;-76 dBm;-50 dBm;-53 dBm
-57 dBm;-51 dBm;-51 dBm;-69 dBm
-51 dBm;-51 dBm;-51 dBm;-48 dBm
-77 dBm;-54 dBm;-50 dBm;-48 dBm
-77 dBm;-50 dBm;-52 dBm;-49 dBm
-52 dBm;-54 dBm;-93 dBm;-48 dBm
-53 dBm;-51 dBm;-91 dBm;-51 dBm
-53 dBm;-51 dBm;-92 dBm;-51 dBm
-52 dBm;-51 dBm;-92 dBm;-52 dBm
-54 dBm;-76 dBm;-51 dBm;-52 dBm
-56 dBm;-53 dBm;-50 dBm;-51 dBm
-57 dBm;-50 dBm;-52 dBm;-53 dBm
-77 dBm;-78 dBm;-52 dBm;-53 dBm
-53 dBm;-78 dBm;-51 dBm;-52 dBm
-56 dBm;-53 dBm;-92 dBm;-51 dBm
-56 dBm;-52 dBm;-94 dBm;-52 dBm
-78 dBm;-77 dBm;-93 dBm;-51 dBm
-77 dBm;-52 dBm;-92 dBm;-92 dBm
-53 dBm;-76 dBm;-92 dBm;-91 dBm
-57 dBm;-75 dBm;-93 dBm;-91 dBm
-56 dBm;-76 dBm;-56 dBm;-92 dBm
-57 dBm;-53 dBm;-50 dBm;-93 dBm
-58 dBm;-53 dBm;-51 dBm;-50 dBm
-57 dBm;-52 dBm;-52 dBm;-51 dBm
-58 dBm;-54 dBm;-51 dBm;-52 dBm
-58 dBm;-53 dBm;-51 dBm;-50 dBm
-57 dBm;-77 dBm;-91 dBm;-54 dBm
-77 dBm;-52 dBm;-95 dBm;-91 dBm
-54 dBm;-52 dBm;-92 dBm;-93 dBm
-50 dBm;-53 dBm;-95 dBm;-92 dBm
-52 dBm;-49 dBm;-56 dBm;-92 dBm
-53 dBm;-48 dBm;-53 dBm;-51 dBm
-53 dBm;-50 dBm;-50 dBm;-91 dBm
-53 dBm;-52 dBm;-51 dBm;-53 dBm
-57 dBm;-78 dBm;-52 dBm;-49 dBm
-57 dBm;-54 dBm;-50 dBm;-91 dBm
-57 dBm;-52 dBm;-91 dBm;-92 dBm
-57 dBm;-52 dBm;-94 dBm;-53 dBm
-56 dBm;-72 dBm;-91 dBm;-69 dBm
-58 dBm;-51 dBm;-93 dBm;-49 dBm
-58 dBm;-69 dBm;-92 dBm;-48 dBm
-57 dBm;-52 dBm;-57 dBm;-49 dBm
-58 dBm;-52 dBm;-51 dBm;-50 dBm
-49 dBm;-51 dBm;-51 dBm;-52 dBm
-78 dBm;-51 dBm;-51 dBm;-72 dBm
-53 dBm;-50 dBm;-93 dBm;-50 dBm
-57 dBm;-76 dBm;-91 dBm;-92 dBm
-57 dBm;-52 dBm;-95 dBm;-53 dBm
-78 dBm;-52 dBm;-92 dBm;-71 dBm
-53 dBm;-50 dBm;-92 dBm;-48 dBm
-58 dBm;-52 dBm;-56 dBm;-48 dBm
-54 dBm;-78 dBm;-51 dBm;-49 dBm
-53 dBm;-53 dBm;-53 dBm;-92 dBm
-52 dBm;-49 dBm;-51 dBm;-94 dBm
-53 dBm;-78 dBm;-52 dBm;-53 dBm
-76 dBm;-53 dBm;-51 dBm;-53 dBm
-51 dBm;-51 dBm;-91 dBm;-52 dBm
-53 dBm;-77 dBm;-90 dBm;-53 dBm
-57 dBm;-53 dBm;-90 dBm;-52 dBm
-50 dBm;-57 dBm;-92 dBm;-52 dBm
-50 dBm;-75 dBm;-56 dBm;-93 dBm
-77 dBm;-53 dBm;-50 dBm;-91 dBm
-53 dBm;-54 dBm;-53 dBm;-53 dBm
-53 dBm;-53 dBm;-51 dBm;-49 dBm
-53 dBm;-52 dBm;-50 dBm;-92 dBm
-53 dBm;-53 dBm;-52 dBm;-54 dBm
-52 dBm;-54 dBm;-90 dBm;-52 dBm
-55 dBm;-76 dBm;-91 dBm;-52 dBm
-56 dBm;-52 dBm;-90 dBm;-53 dBm
-78 dBm;-54 dBm;-93 dBm;-54 dBm
-53 dBm;-48 dBm;-90 dBm;-53 dBm
-57 dBm;-54 dBm;-91 dBm;-52 dBm
-56 dBm;-53 dBm;-91 dBm;-51 dBm
-48 dBm;-49 dBm;-56 dBm;-51 dBm
-56 dBm;-53 dBm;-52 dBm;-93 dBm
-78 dBm;-72 dBm;-52 dBm;-52 dBm
-77 dBm;-76 dBm;-51 dBm;-53 dBm
-54 dBm;-53 dBm;-50 dBm;-51 dBm
-53 dBm;-77 dBm;-52 dBm;-52 dBm
-55 dBm;-52 dBm;-92 dBm;-51 dBm
-54 dBm;-76 dBm;-92 dBm;-91 dBm
-76 dBm;-53 dBm;-92 dBm;-52 dBm
-53 dBm;-54 dBm;-93 dBm;-72 dBm
-57 dBm;-54 dBm;-92 dBm;-50 dBm
-48 dBm;-52 dBm;-91 dBm;-91 dBm
-76 dBm;-51 dBm;-57 dBm;-53 dBm
-53 dBm;-52 dBm;-50 dBm;-50 dBm
-53 dBm;-50 dBm;-92 dBm;-89 dBm
-54 dBm;-53 dBm;-53 dBm;-54 dBm
-54 dBm;-76 dBm;-52 dBm;-52 dBm
-54 dBm;-52 dBm;-56 dBm;-49 dBm
-58 dBm;-52 dBm;-51 dBm;-53 dBm
-50 dBm;-76 dBm;-50 dBm;-53 dBm
-49 dBm;-53 dBm;-51 dBm;-53 dBm
-57 dBm;-51 dBm;-51 dBm;-92 dBm
-77 dBm;-52 dBm;-52 dBm;-54 dBm
-53 dBm;-76 dBm;-92 dBm;-52 dBm
-55 dBm;-52 dBm;-91 dBm;-54 dBm
-48 dBm;-53 dBm;-92 dBm;-48 dBm
-77 dBm;-52 dBm;-92 dBm;-49 dBm
-54 dBm;-54 dBm;-92 dBm;-90 dBm
-55 dBm;-53 dBm;-56 dBm;-52 dBm
-77 dBm;-52 dBm;-52 dBm;-50 dBm
-78 dBm;-75 dBm;-51 dBm;-48 dBm
-53 dBm;-53 dBm;-52 dBm;-53 dBm
-56 dBm;-53 dBm;-51 dBm;-72 dBm
-56 dBm;-53 dBm;-51 dBm;-50 dBm
-57 dBm;-75 dBm;-92 dBm;-93 dBm
-48 dBm;-53 dBm;-90 dBm;-54 dBm
-79 dBm;-53 dBm;-91 dBm;-68 dBm
-53 dBm;-52 dBm;-56 dBm;-53 dBm
-53 dBm;-53 dBm;-51 dBm;-53 dBm
-55 dBm;-54 dBm;-50 dBm;-91 dBm
-57 dBm;-75 dBm;-51 dBm;-54 dBm
-57 dBm;-68 dBm;-52 dBm;-52 dBm
-50 dBm;-69 dBm;-51 dBm;-92 dBm
-78 dBm;-50 dBm;-92 dBm;-53 dBm
-53 dBm;-75 dBm;-91 dBm;-53 dBm
-53 dBm;-53 dBm;-91 dBm;-91 dBm
-53 dBm;-56 dBm;-90 dBm;-52 dBm
-53 dBm;-75 dBm;-57 dBm;-53 dBm
-53 dBm;-52 dBm;-56 dBm;-53 dBm
-53 dBm;-56 dBm;-51 dBm;-52 dBm
-53 dBm;-76 dBm;-51 dBm;-53 dBm
-56 dBm;-53 dBm;-53 dBm;-53 dBm
-52 dBm;-49 dBm;-51 dBm;-52 dBm
-78 dBm;-56 dBm;-52 dBm;-53 dBm
-53 dBm;-56 dBm;-92 dBm;-51 dBm
-55 dBm;-55 dBm;-91 dBm;-50 dBm
-56 dBm;-52 dBm;-92 dBm;-93 dBm
-48 dBm;-75 dBm;-94 dBm;-53 dBm
-77 dBm;-53 dBm;-91 dBm;-53 dBm
-53 dBm;-54 dBm;-56 dBm;-53 dBm
-54 dBm;-52 dBm;-55 dBm;-52 dBm
-55 dBm;-78 dBm;-56 dBm;-53 dBm
-78 dBm;-52 dBm;-51 dBm;-50 dBm
-53 dBm;-54 dBm;-51 dBm;-49 dBm
-53 dBm;-54 dBm;-51 dBm;-54 dBm
-54 dBm;-51 dBm;-53 dBm;-52 dBm
-52 dBm;-48 dBm;-52 dBm;-54 dBm
-52 dBm;-51 dBm;-52 dBm;-53 dBm
-54 dBm;-52 dBm;-53 dBm;-53 dBm
-53 dBm;-51 dBm;-55 dBm;-53 dBm
-53 dBm;-51 dBm;-52 dBm;-52 dBm
-54 dBm;-52 dBm;-53 dBm;-48 dBm
-54 dBm;-69 dBm;-52 dBm;-50 dBm
-78 dBm;-50 dBm;-53 dBm;-90 dBm
-53 dBm;-54 dBm;-51 dBm;-53 dBm
-55 dBm;-53 dBm;-92 dBm;-52 dBm
-53 dBm;-51 dBm;-92 dBm;-52 dBm
-53 dBm;-52 dBm;-91 dBm;-53 dBm
-53 dBm;-77 dBm;-91 dBm;-90 dBm
-53 dBm;-53 dBm;-56 dBm;-53 dBm
-54 dBm;-53 dBm;-56 dBm;-53 dBm
-76 dBm;-53 dBm;-51 dBm;-92 dBm
-53 dBm;-52 dBm;-52 dBm;-53 dBm
-55 dBm;-51 dBm;-53 dBm;-53 dBm
-49 dBm;-75 dBm;-54 dBm;-53 dBm
-78 dBm;-54 dBm;-92 dBm;-53 dBm
-53 dBm;-53 dBm;-53 dBm;-53 dBm
-56 dBm;-48 dBm;-56 dBm;-52 dBm
-53 dBm;-48 dBm;-51 dBm;-53 dBm
-52 dBm;-76 dBm;-53 dBm;-53 dBm
-54 dBm;-53 dBm;-55 dBm;-92 dBm
-53 dBm;-54 dBm;-50 dBm;-53 dBm
-56 dBm;-57 dBm;-94 dBm;-70 dBm
-77 dBm;-77 dBm;-53 dBm;-53 dBm
-53 dBm;-52 dBm;-57 dBm;-53 dBm
-53 dBm;-68 dBm;-53 dBm;-53 dBm
-53 dBm;-48 dBm;-93 dBm;-53 dBm
-53 dBm;-55 dBm;-53 dBm;-53 dBm
-54 dBm;-49 dBm;-56 dBm;-53 dBm
-55 dBm;-49 dBm;-53 dBm;-51 dBm
-49 dBm;-52 dBm;-93 dBm;-48 dBm
-77 dBm;-52 dBm;-53 dBm;-69 dBm
-52 dBm;-52 dBm;-56 dBm;-91 dBm
-53 dBm;-76 dBm;-58 dBm;-53 dBm
-53 dBm;-53 dBm;-93 dBm;-53 dBm
-53 dBm;-50 dBm;-91 dBm;-53 dBm
-53 dBm;-53 dBm;-54 dBm;-92 dBm
-56 dBm;-50 dBm;-53 dBm;-54 dBm
-52 dBm;-53 dBm;-55 dBm;-72 dBm
-52 dBm;-52 dBm;-53 dBm;-52 dBm
-51 dBm;-52 dBm;-52 dBm;-91 dBm
-77 dBm;-52 dBm;-52 dBm;-53 dBm
-54 dBm;-76 dBm;-53 dBm;-93 dBm
-57 dBm;-77 dBm;-51 dBm;-54 dBm
-52 dBm;-76 dBm;-91 dBm;-53 dBm
-51 dBm;-78 dBm;-52 dBm;-52 dBm
-77 dBm;-76 dBm;-55 dBm;-53 dBm
-54 dBm;-52 dBm;-48 dBm;-92 dBm
-52 dBm;-53 dBm;-92 dBm;-52 dBm
-57 dBm;-51 dBm;-52 dBm;-53 dBm
-58 dBm;-51 dBm;-55 dBm;-53 dBm
-57 dBm;-52 dBm;-53 dBm;-53 dBm
-57 dBm;-52 dBm;-91 dBm;-53 dBm
-51 dBm;-50 dBm;-54 dBm;-50 dBm
-78 dBm;-75 dBm;-56 dBm;-48 dBm
-53 dBm;-75 dBm;-55 dBm;-52 dBm
-57 dBm;-76 dBm;-55 dBm;-53 dBm
-48 dBm;-76 dBm;-49 dBm;-53 dBm
-77 dBm;-53 dBm;-55 dBm;-53 dBm
-77 dBm;-52 dBm;-56 dBm;-52 dBm
-53 dBm;-51 dBm;-55 dBm;-53 dBm
-56 dBm;-52 dBm;-55 dBm;-53 dBm
-54 dBm;-51 dBm;-58 dBm;-53 dBm
-57 dBm;-52 dBm;-57 dBm;-93 dBm
-57 dBm;-52 dBm;-58 dBm;-53 dBm
-77 dBm;-75 dBm;-57 dBm;-53 dBm
-77 dBm;-54 dBm;-57 dBm;-53 dBm
-53 dBm;-51 dBm;-51 dBm;-53 dBm
-53 dBm;-75 dBm;-54 dBm;-52 dBm
-53 dBm;-54 dBm;-52 dBm;-53 dBm
-55 dBm;-52 dBm;-51 dBm;-54 dBm
-57 dBm;-52 dBm;-52 dBm;-53 dBm
-52 dBm;-52 dBm;-57 dBm;-53 dBm
-58 dBm;-53 dBm;-57 dBm;-53 dBm
-49 dBm;-53 dBm;-51 dBm;-91 dBm
-57 dBm;-49 dBm;-53 dBm;-53 dBm
-49 dBm;-76 dBm;-54 dBm;-69 dBm
-49 dBm;-53 dBm;-53 dBm;-50 dBm
-52 dBm;-51 dBm;-57 dBm;-53 dBm
-77 dBm;-74 dBm;-51 dBm;-52 dBm
-52 dBm;-72 dBm;-51 dBm;-52 dBm
-57 dBm;-75 dBm;-50 dBm;-92 dBm
-53 dBm;-51 dBm;-52 dBm;-53 dBm
-51 dBm;-52 dBm;-53 dBm;-49 dBm
-51 dBm;-77 dBm;-93 dBm;-53 dBm
-50 dBm;-53 dBm;-92 dBm;-49 dBm
-76 dBm;-69 dBm;-92 dBm;-92 dBm
-52 dBm;-52 dBm;-56 dBm;-53 dBm
-53 dBm;-77 dBm;-51 dBm;-50 dBm
-58 dBm;-53 dBm;-52 dBm;-90 dBm
-53 dBm;-53 dBm;-52 dBm;-53 dBm
-77 dBm;-57 dBm;-51 dBm;-69 dBm
-52 dBm;-75 dBm;-52 dBm;-53 dBm
-53 dBm;-53 dBm;-93 dBm;-53 dBm
-54 dBm;-53 dBm;-55 dBm;-53 dBm
-57 dBm;-57 dBm;-51 dBm;-52 dBm
-52 dBm;-75 dBm;-52 dBm;-52 dBm
-50 dBm;-52 dBm;-55 dBm;-53 dBm
-52 dBm;-48 dBm;-55 dBm;-53 dBm
-77 dBm;-77 dBm;-55 dBm;-54 dBm
-51 dBm;-53 dBm;-58 dBm;-53 dBm
-54 dBm;-53 dBm;-50 dBm;-51 dBm
-53 dBm;-51 dBm;-48 dBm;-48 dBm
-57 dBm;-53 dBm;-49 dBm;-51 dBm
-58 dBm;-53 dBm;-48 dBm;-54 dBm
-58 dBm;-69 dBm;-52 dBm;-52 dBm
-57 dBm;-50 dBm;-55 dBm;-50 dBm
-57 dBm;-56 dBm;-52 dBm;-91 dBm
-56 dBm;-50 dBm;-92 dBm;-53 dBm
-57 dBm;-75 dBm;-53 dBm;-50 dBm
-57 dBm;-52 dBm;-55 dBm;-92 dBm
-57 dBm;-72 dBm;-49 dBm;-94 dBm
-57 dBm;-48 dBm;-91 dBm;-53 dBm
-57 dBm;-49 dBm;-53 dBm;-52 dBm
-57 dBm;-75 dBm;-55 dBm;-53 dBm
-57 dBm;-76 dBm;-55 dBm;-53 dBm
-57 dBm;-75 dBm;-55 dBm;-53 dBm
-58 dBm;-76 dBm;-58 dBm;-51 dBm
-57 dBm;-75 dBm;-58 dBm;-52 dBm
-57 dBm;-75 dBm;-55 dBm;-49 dBm
-58 dBm;-52 dBm;-55 dBm;-90 dBm
-57 dBm;-72 dBm;-55 dBm;-54 dBm
-51 dBm;-57 dBm;-56 dBm;-53 dBm
-76 dBm;-77 dBm;-57 dBm;-53 dBm
-53 dBm;-53 dBm;-58 dBm;-53 dBm
-52 dBm;-56 dBm;-48 dBm;-53 dBm
-53 dBm;-76 dBm;-48 dBm;-50 dBm
-52 dBm;-54 dBm;-50 dBm;-50 dBm
-52 dBm;-53 dBm;-54 dBm;-52 dBm
-53 dBm;-50 dBm;-53 dBm;-52 dBm
-55 dBm;-80 dBm;-53 dBm;-91 dBm
-57 dBm;-76 dBm;-57 dBm;-52 dBm
-51 dBm;-76 dBm;-53 dBm;-54 dBm
-50 dBm;-75 dBm;-91 dBm;-53 dBm
-76 dBm;-51 dBm;-53 dBm;-53 dBm
-57 dBm;-52 dBm;-57 dBm;-53 dBm
-50 dBm;-52 dBm;-58 dBm;-53 dBm
-51 dBm;-53 dBm;-52 dBm;-53 dBm
-52 dBm;-53 dBm;-53 dBm;-53 dBm
-51 dBm;-53 dBm;-52 dBm;-53 dBm
-78 dBm;-52 dBm;-92 dBm;-53 dBm
-77 dBm;-52 dBm;-53 dBm;-54 dBm
-52 dBm;-51 dBm;-57 dBm;-53 dBm
-52 dBm;-73 dBm;-57 dBm;-52 dBm
-56 dBm;-74 dBm;-57 dBm;-53 dBm
-57 dBm;-74 dBm;-57 dBm;-51 dBm
-57 dBm;-76 dBm;-53 dBm;-48 dBm
-57 dBm;-53 dBm;-53 dBm;-91 dBm
-58 dBm;-52 dBm;-52 dBm;-53 dBm
-58 dBm;-52 dBm;-52 dBm;-53 dBm
-58 dBm;-52 dBm;-50 dBm;-91 dBm
-57 dBm;-53 dBm;-88 dBm;-53 dBm
-57 dBm;-57 dBm;-57 dBm;-51 dBm
-57 dBm;-77 dBm;-58 dBm;-53 dBm
-57 dBm;-77 dBm;-57 dBm;-53 dBm
-57 dBm;-54 dBm;-57 dBm;-93 dBm
-50 dBm;-56 dBm;-53 dBm;-53 dBm
-75 dBm;-57 dBm;-53 dBm;-53 dBm
-52 dBm;-49 dBm;-48 dBm;-52 dBm
-57 dBm;-56 dBm;-48 dBm;-91 dBm
-52 dBm;-50 dBm;-49 dBm;-53 dBm
-78 dBm;-77 dBm;-90 dBm;-52 dBm
-78 dBm;-75 dBm;-54 dBm;-54 dBm
-77 dBm;-53 dBm;-57 dBm;-53 dBm
-77 dBm;-49 dBm;-51 dBm;-53 dBm
-53 dBm;-75 dBm;-91 dBm;-54 dBm
-52 dBm;-53 dBm;-53 dBm;-53 dBm
-52 dBm;-53 dBm;-54 dBm;-53 dBm
-53 dBm;-54 dBm;-50 dBm;-53 dBm
-53 dBm;-52 dBm;-53 dBm;-53 dBm
-58 dBm;-52 dBm;-52 dBm;-92 dBm
-51 dBm;-53 dBm;-53 dBm;-52 dBm
-51 dBm;-52 dBm;-54 dBm;-53 dBm
-50 dBm;-52 dBm;-55 dBm;-53 dBm
-78 dBm;-52 dBm;-55 dBm;-69 dBm
-51 dBm;-54 dBm;-57 dBm;-53 dBm
-50 dBm;-74 dBm;-56 dBm;-52 dBm
-53 dBm;-74 dBm;-57 dBm;-52 dBm
-52 dBm;-75 dBm;-57 dBm;-53 dBm
-52 dBm;-74 dBm;-58 dBm;-53 dBm
-53 dBm;-74 dBm;-58 dBm;-53 dBm
-53 dBm;-53 dBm;-57 dBm;-53 dBm
-57 dBm;-71 dBm;-58 dBm;-53 dBm
-50 dBm;-52 dBm;-58 dBm;-53 dBm
-53 dBm;-75 dBm;-58 dBm;-54 dBm
-50 dBm;-75 dBm;-58 dBm;-54 dBm
-78 dBm;-75 dBm;-51 dBm;-53 dBm
-51 dBm;-54 dBm;-58 dBm;-53 dBm
-52 dBm;-54 dBm;-93 dBm;-52 dBm
-52 dBm;-53 dBm;-52 dBm;-53 dBm
-52 dBm;-54 dBm;-58 dBm;-54 dBm
-53 dBm;-52 dBm;-55 dBm;-69 dBm
-53 dBm;-53 dBm;-56 dBm;-54 dBm
-53 dBm;-52 dBm;-57 dBm;-54 dBm
-57 dBm;-74 dBm;-54 dBm;-54 dBm
-54 dBm;-75 dBm;-49 dBm;-53 dBm
-52 dBm;-53 dBm;-50 dBm;-53 dBm
-57 dBm;-54 dBm;-91 dBm;-69 dBm
-58 dBm;-52 dBm;-92 dBm;-92 dBm
-58 dBm;-53 dBm;-53 dBm;-52 dBm
-56 dBm;-71 dBm;-53 dBm;-53 dBm
-58 dBm;-53 dBm;-55 dBm;-93 dBm
-58 dBm;-53 dBm;-53 dBm;-53 dBm
-57 dBm;-52 dBm;-53 dBm;-52 dBm
-58 dBm;-53 dBm;-53 dBm;-53 dBm
-58 dBm;-51 dBm;-52 dBm;-53 dBm
-56 dBm;-74 dBm;-51 dBm;-53 dBm
-57 dBm;-53 dBm;-92 dBm;-52 dBm
-51 dBm;-53 dBm;-53 dBm;-53 dBm
-78 dBm;-52 dBm;-55 dBm;-53 dBm
-53 dBm;-75 dBm;-50 dBm;-53 dBm
-54 dBm;-75 dBm;-49 dBm;-53 dBm
-57 dBm;-73 dBm;-92 dBm;-53 dBm
-57 dBm;-72 dBm;-52 dBm;-53 dBm
-57 dBm;-74 dBm;-56 dBm;-54 dBm
-58 dBm;-52 dBm;-56 dBm;-53 dBm
-57 dBm;-54 dBm;-55 dBm;-53 dBm
-58 dBm;-53 dBm;-55 dBm;-53 dBm
-57 dBm;-53 dBm;-58 dBm;-53 dBm
-57 dBm;-53 dBm;-58 dBm;-53 dBm
-57 dBm;-52 dBm;-57 dBm;-53 dBm
-57 dBm;-74 dBm;-56 dBm;-72 dBm
-50 dBm;-53 dBm;-58 dBm;-53 dBm
-75 dBm;-52 dBm;-57 dBm;-53 dBm
-50 dBm;-52 dBm;-57 dBm;-72 dBm
-53 dBm;-53 dBm;-58 dBm;-53 dBm
-53 dBm;-53 dBm;-48 dBm;-54 dBm
-52 dBm;-51 dBm;-53 dBm;-53 dBm
-58 dBm;-75 dBm;-56 dBm;-53 dBm
-48 dBm;-74 dBm;-48 dBm;-53 dBm
-50 dBm;-74 dBm;-56 dBm;-53 dBm
-78 dBm;-73 dBm;-53 dBm;-52 dBm
-77 dBm;-73 dBm;-53 dBm;-54 dBm
-54 dBm;-73 dBm;-57 dBm;-53 dBm
-58 dBm;-53 dBm;-53 dBm;-52 dBm
