"No.","Time","signal strength","Source","Destination","Info","Length"
"61","2.420728895","-69 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x07a1, seq=26/6656, ttl=64 (request in 53)","158"
"62","2.421818395","-72 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x093c, seq=80/20480, ttl=64 (request in 60)","158"
"66","2.567589656","-52 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x07a1, seq=26/6656, ttl=64","161"
"67","2.589081187","-54 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x07a1, seq=26/6656, ttl=64","158"
"83","2.840571664","-63 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x07a1, seq=27/6912, ttl=64 (no response found!)","172"
"84","3.004935497","-62 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x093c, seq=81/20736, ttl=64 (no response found!)","161"
"85","3.048225849","","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x07a1, seq=27/6912, ttl=64 (reply in 87)","162"
"86","3.048252842","-54 dBm","192.168.1.106","192.168.1.100","Echo (ping) request  id=0x093c, seq=81/20736, ttl=64 (reply in 88)","172"
"87","3.180491948","-70 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x07a1, seq=27/6912, ttl=64 (request in 85)","158"
"88","3.181600796","-65 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x093c, seq=81/20736, ttl=64 (request in 86)","158"
"89","3.182355123","-55 dBm","192.168.1.100","192.168.1.106","Echo (ping) reply    id=0x093c, seq=81/20736, ttl=64","161"
"90","3.495150572","-54 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x07a1, seq=27/6912, ttl=64","161"
"99","3.837219140","-62 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x07a1, seq=28/7168, ttl=64 (no response found!)","172"
"100","3.840096880","-56 dBm","192.168.1.102","192.168.1.100","Echo (ping) request  id=0x07a1, seq=28/7168, ttl=64 (reply in 101)","161"
"101","3.938568266","-73 dBm","192.168.1.100","192.168.1.102","Echo (ping) reply    id=0x07a1, seq=28/7168, ttl=64 (request in 100)","158"
