S1A1(10);S2A1(10);S1L2(10);S2L2(10)
-73 dBm;-63 dBm;-63 dBm;-83 dBm
-73 dBm;-49 dBm;-51 dBm;-84 dBm
-55 dBm;-52 dBm;-63 dBm;-84 dBm
-72 dBm;-62 dBm;-50 dBm;-54 dBm
-62 dBm;-54 dBm;-50 dBm;-53 dBm
-54 dBm;-71 dBm;-50 dBm;-63 dBm
-72 dBm;-71 dBm;-51 dBm;-53 dBm
-53 dBm;-53 dBm;-62 dBm;-53 dBm
-62 dBm;-53 dBm;-54 dBm;-53 dBm
-63 dBm;-61 dBm;-86 dBm;-54 dBm
-52 dBm;-54 dBm;-52 dBm;-54 dBm
-53 dBm;-53 dBm;-62 dBm;-63 dBm
-53 dBm;-53 dBm;-55 dBm;-52 dBm
-71 dBm;-71 dBm;-51 dBm;-82 dBm
-72 dBm;-62 dBm;-50 dBm;-82 dBm
-54 dBm;-62 dBm;-50 dBm;-83 dBm
-63 dBm;-52 dBm;-63 dBm;-63 dBm
-62 dBm;-53 dBm;-52 dBm;-51 dBm
-54 dBm;-54 dBm;-54 dBm;-61 dBm
-54 dBm;-53 dBm;-62 dBm;-53 dBm
-71 dBm;-52 dBm;-52 dBm;-53 dBm
-70 dBm;-72 dBm;-53 dBm;-52 dBm
-70 dBm;-69 dBm;-52 dBm;-53 dBm
-71 dBm;-70 dBm;-52 dBm;-53 dBm
-69 dBm;-72 dBm;-52 dBm;-62 dBm
-69 dBm;-55 dBm;-53 dBm;-54 dBm
-72 dBm;-54 dBm;-63 dBm;-84 dBm
-52 dBm;-54 dBm;-62 dBm;-62 dBm
-52 dBm;-54 dBm;-52 dBm;-57 dBm
-51 dBm;-63 dBm;-52 dBm;-57 dBm
-54 dBm;-63 dBm;-51 dBm;-52 dBm
-52 dBm;-63 dBm;-51 dBm;-52 dBm
-53 dBm;-54 dBm;-83 dBm;-63 dBm
-53 dBm;-71 dBm;-83 dBm;-61 dBm
-53 dBm;-69 dBm;-85 dBm;-54 dBm
-53 dBm;-67 dBm;-84 dBm;-53 dBm
-63 dBm;-67 dBm;-62 dBm;-54 dBm
-68 dBm;-70 dBm;-52 dBm;-62 dBm
-67 dBm;-71 dBm;-53 dBm;-52 dBm
-68 dBm;-54 dBm;-62 dBm;-53 dBm
-70 dBm;-62 dBm;-53 dBm;-61 dBm
-71 dBm;-53 dBm;-53 dBm;-55 dBm
-71 dBm;-54 dBm;-54 dBm;-52 dBm
-72 dBm;-53 dBm;-61 dBm;-54 dBm
-71 dBm;-54 dBm;-61 dBm;-54 dBm
-72 dBm;-71 dBm;-52 dBm;-62 dBm
-70 dBm;-71 dBm;-54 dBm;-52 dBm
-71 dBm;-68 dBm;-54 dBm;-87 dBm
