S1A1;S2A1;S1D1;S2D1
-57 dBm;-51 dBm;-51 dBm;-48 dBm
-52 dBm;-51 dBm;-57 dBm;-49 dBm
-51 dBm;-51 dBm;-51 dBm;-50 dBm
-51 dBm;-50 dBm;-50 dBm;-48 dBm
-50 dBm;-51 dBm;-51 dBm;-49 dBm
-52 dBm;-52 dBm;-51 dBm;-50 dBm
-51 dBm;-51 dBm;-52 dBm;-50 dBm
-51 dBm;-51 dBm;-77 dBm;-49 dBm
-52 dBm;-51 dBm;-51 dBm;-51 dBm
-58 dBm;-51 dBm;-56 dBm;-51 dBm
-51 dBm;-51 dBm;-51 dBm;-51 dBm
-51 dBm;-52 dBm;-76 dBm;-52 dBm
-57 dBm;-51 dBm;-52 dBm;-50 dBm
-51 dBm;-51 dBm;-58 dBm;-53 dBm
-51 dBm;-51 dBm;-51 dBm;-78 dBm
-51 dBm;-51 dBm;-77 dBm;-51 dBm
-51 dBm;-52 dBm;-51 dBm;-52 dBm
-51 dBm;-52 dBm;-57 dBm;-77 dBm
-51 dBm;-52 dBm;-51 dBm;-51 dBm
-54 dBm;-51 dBm;-77 dBm;-51 dBm
-50 dBm;-51 dBm;-50 dBm;-76 dBm
-51 dBm;-53 dBm;-57 dBm;-52 dBm
-57 dBm;-50 dBm;-51 dBm;-49 dBm
-58 dBm;-51 dBm;-51 dBm;-47 dBm
-57 dBm;-51 dBm;-52 dBm;-49 dBm
-51 dBm;-52 dBm;-51 dBm;-47 dBm
-51 dBm;-52 dBm;-51 dBm;-51 dBm
-56 dBm;-52 dBm;-77 dBm;-51 dBm
-51 dBm;-52 dBm;-52 dBm;-51 dBm
-51 dBm;-51 dBm;-57 dBm;-77 dBm
-52 dBm;-51 dBm;-57 dBm;-50 dBm
-50 dBm;-52 dBm;-51 dBm;-52 dBm
-51 dBm;-51 dBm;-57 dBm;-77 dBm
-51 dBm;-51 dBm;-77 dBm;-78 dBm
-56 dBm;-50 dBm;-51 dBm;-51 dBm
-57 dBm;-51 dBm;-51 dBm;-51 dBm
-52 dBm;-50 dBm;-56 dBm;-52 dBm
-52 dBm;-52 dBm;-51 dBm;-51 dBm
-50 dBm;-51 dBm;-51 dBm;-51 dBm
-51 dBm;-50 dBm;-77 dBm;-72 dBm
-56 dBm;-49 dBm;-51 dBm;-51 dBm
-51 dBm;-48 dBm;-58 dBm;-55 dBm
-51 dBm;-50 dBm;-51 dBm;-51 dBm
-54 dBm;-51 dBm;-77 dBm;-78 dBm
-53 dBm;-49 dBm;-52 dBm;-51 dBm
-51 dBm;-49 dBm;-52 dBm;-79 dBm
-51 dBm;-50 dBm;-55 dBm;-50 dBm
-52 dBm;-51 dBm;-50 dBm;-52 dBm
-56 dBm;-72 dBm;-77 dBm;-51 dBm
-52 dBm;-51 dBm;-53 dBm;-51 dBm
-50 dBm;-51 dBm;-54 dBm;-51 dBm
-55 dBm;-51 dBm;-50 dBm;-51 dBm
-51 dBm;-52 dBm;-51 dBm;-52 dBm
-52 dBm;-51 dBm;-49 dBm;-78 dBm
-52 dBm;-50 dBm;-49 dBm;-51 dBm
-54 dBm;-51 dBm;-49 dBm;-51 dBm
-51 dBm;-51 dBm;-55 dBm;-51 dBm
-52 dBm;-51 dBm;-50 dBm;-77 dBm
-51 dBm;-51 dBm;-51 dBm;-50 dBm
-55 dBm;-51 dBm;-51 dBm;-51 dBm
-51 dBm;-51 dBm;-77 dBm;-78 dBm
-51 dBm;-51 dBm;-51 dBm;-51 dBm
-52 dBm;-52 dBm;-50 dBm;-51 dBm
-52 dBm;-51 dBm;-51 dBm;-51 dBm
-54 dBm;-51 dBm;-51 dBm;-52 dBm
-51 dBm;-51 dBm;-51 dBm;-79 dBm
-50 dBm;-51 dBm;-54 dBm;-51 dBm
-51 dBm;-52 dBm;-52 dBm;-52 dBm
-55 dBm;-52 dBm;-78 dBm;-51 dBm
-51 dBm;-51 dBm;-51 dBm;-78 dBm
-51 dBm;-51 dBm;-57 dBm;-51 dBm
-55 dBm;-52 dBm;-56 dBm;-50 dBm
-51 dBm;-52 dBm;-51 dBm;-51 dBm
-50 dBm;-51 dBm;-51 dBm;-51 dBm
-55 dBm;-51 dBm;-51 dBm;-77 dBm
-51 dBm;-52 dBm;-76 dBm;-51 dBm
-51 dBm;-51 dBm;-52 dBm;-51 dBm
-55 dBm;-51 dBm;-76 dBm;-77 dBm
-51 dBm;-52 dBm;-52 dBm;-51 dBm
-51 dBm;-50 dBm;-56 dBm;-51 dBm
-55 dBm;-51 dBm;-51 dBm;-52 dBm
-51 dBm;-52 dBm;-77 dBm;-51 dBm
-51 dBm;-51 dBm;-51 dBm;-50 dBm
-52 dBm;-51 dBm;-52 dBm;-52 dBm
-51 dBm;-52 dBm;-51 dBm;-51 dBm
