S1A1(3);S2A1(3);S1E1(3);S2E1(3)
-54 dBm;-54 dBm;-57 dBm;-58 dBm
-55 dBm;-55 dBm;-53 dBm;-58 dBm
-57 dBm;-55 dBm;-54 dBm;-57 dBm
-53 dBm;-71 dBm;-55 dBm;-52 dBm
-54 dBm;-55 dBm;-56 dBm;-54 dBm
-54 dBm;-53 dBm;-58 dBm;-71 dBm
-57 dBm;-54 dBm;-54 dBm;-52 dBm
-54 dBm;-54 dBm;-57 dBm;-52 dBm
-53 dBm;-55 dBm;-58 dBm;-72 dBm
-56 dBm;-54 dBm;-59 dBm;-57 dBm
-53 dBm;-54 dBm;-58 dBm;-57 dBm
-53 dBm;-52 dBm;-58 dBm;-57 dBm
-55 dBm;-54 dBm;-53 dBm;-57 dBm
-55 dBm;-55 dBm;-55 dBm;-52 dBm
-54 dBm;-54 dBm;-55 dBm;-54 dBm
-55 dBm;-54 dBm;-56 dBm;-72 dBm
-54 dBm;-55 dBm;-53 dBm;-52 dBm
-56 dBm;-53 dBm;-52 dBm;-54 dBm
-54 dBm;-53 dBm;-55 dBm;-57 dBm
-56 dBm;-54 dBm;-53 dBm;-58 dBm
-53 dBm;-54 dBm;-55 dBm;-57 dBm
-78 dBm;-53 dBm;-55 dBm;-58 dBm
-78 dBm;-55 dBm;-52 dBm;-54 dBm
-53 dBm;-55 dBm;-55 dBm;-71 dBm
-56 dBm;-55 dBm;-55 dBm;-53 dBm
-54 dBm;-52 dBm;-53 dBm;-54 dBm
-79 dBm;-54 dBm;-53 dBm;-54 dBm
-54 dBm;-53 dBm;-52 dBm;-52 dBm
-54 dBm;-55 dBm;-56 dBm;-54 dBm
-53 dBm;-54 dBm;-52 dBm;-71 dBm
-56 dBm;-53 dBm;-52 dBm;-53 dBm
-54 dBm;-53 dBm;-52 dBm;-55 dBm
-55 dBm;-54 dBm;-57 dBm;-58 dBm
-54 dBm;-55 dBm;-52 dBm;-57 dBm
-54 dBm;-54 dBm;-54 dBm;-58 dBm
-54 dBm;-54 dBm;-56 dBm;-58 dBm
-55 dBm;-55 dBm;-58 dBm;-52 dBm
-57 dBm;-55 dBm;-57 dBm;-54 dBm
-54 dBm;-55 dBm;-57 dBm;-54 dBm
-78 dBm;-54 dBm;-58 dBm;-55 dBm
-54 dBm;-54 dBm;-53 dBm;-52 dBm
-56 dBm;-54 dBm;-55 dBm;-52 dBm
-55 dBm;-54 dBm;-57 dBm;-72 dBm
-53 dBm;-55 dBm;-56 dBm;-52 dBm
-55 dBm;-55 dBm;-52 dBm;-55 dBm
-54 dBm;-54 dBm;-54 dBm;-52 dBm
-55 dBm;-54 dBm;-57 dBm;-58 dBm
-56 dBm;-55 dBm;-55 dBm;-51 dBm
-56 dBm;-53 dBm;-58 dBm;-55 dBm
-55 dBm;-54 dBm;-54 dBm;-54 dBm
-54 dBm;-54 dBm;-55 dBm;-54 dBm
-54 dBm;-54 dBm;-54 dBm;-54 dBm
-56 dBm;-55 dBm;-54 dBm;-53 dBm
-54 dBm;-55 dBm;-57 dBm;-51 dBm
-52 dBm;-54 dBm;-57 dBm;-52 dBm
-57 dBm;-55 dBm;-54 dBm;-54 dBm
-54 dBm;-55 dBm;-55 dBm;-53 dBm
-54 dBm;-52 dBm;-55 dBm;-54 dBm
-55 dBm;-54 dBm;-55 dBm;-58 dBm
-54 dBm;-79 dBm;-54 dBm;-54 dBm
-54 dBm;-54 dBm;-55 dBm;-53 dBm
-56 dBm;-71 dBm;-55 dBm;-55 dBm
-55 dBm;-54 dBm;-56 dBm;-55 dBm
-56 dBm;-54 dBm;-53 dBm;-54 dBm
-54 dBm;-54 dBm;-56 dBm;-55 dBm
-55 dBm;-55 dBm;-55 dBm;-55 dBm
-53 dBm;-55 dBm;-53 dBm;-55 dBm
-54 dBm;-54 dBm;-54 dBm;-54 dBm
-55 dBm;-55 dBm;-54 dBm;-55 dBm
-54 dBm;-54 dBm;-57 dBm;-54 dBm
-56 dBm;-55 dBm;-57 dBm;-55 dBm
-54 dBm;-54 dBm;-53 dBm;-54 dBm
-54 dBm;-54 dBm;-56 dBm;-55 dBm
-56 dBm;-55 dBm;-55 dBm;-52 dBm
-55 dBm;-55 dBm;-54 dBm;-55 dBm
-53 dBm;-54 dBm;-56 dBm;-54 dBm
-56 dBm;-55 dBm;-55 dBm;-55 dBm
-54 dBm;-55 dBm;-54 dBm;-55 dBm
-55 dBm;-55 dBm;-55 dBm;-55 dBm
-56 dBm;-55 dBm;-55 dBm;-53 dBm
-56 dBm;-53 dBm;-56 dBm;-55 dBm
-55 dBm;-54 dBm;-52 dBm;-53 dBm
-55 dBm;-53 dBm;-54 dBm;-55 dBm
-57 dBm;-52 dBm;-56 dBm;-55 dBm
-55 dBm;-54 dBm;-55 dBm;-53 dBm
-56 dBm;-54 dBm;-52 dBm;-89 dBm
-55 dBm;-54 dBm;-54 dBm;-55 dBm
-54 dBm;-53 dBm;-56 dBm;-55 dBm
-54 dBm;-53 dBm;-54 dBm;-53 dBm
-55 dBm;-54 dBm;-55 dBm;-52 dBm
-55 dBm;-71 dBm;-55 dBm;-53 dBm
-54 dBm;-55 dBm;-56 dBm;-52 dBm
-55 dBm;-55 dBm;-55 dBm;-54 dBm
-55 dBm;-55 dBm;-55 dBm;-52 dBm
-56 dBm;-54 dBm;-56 dBm;-54 dBm
-55 dBm;-54 dBm;-55 dBm;-54 dBm
-55 dBm;-52 dBm;-57 dBm;-54 dBm
-56 dBm;-53 dBm;-55 dBm;-55 dBm
-54 dBm;-53 dBm;-54 dBm;-54 dBm
-55 dBm;-54 dBm;-55 dBm;-55 dBm
-53 dBm;-55 dBm;-54 dBm;-54 dBm
-55 dBm;-55 dBm;-54 dBm;-55 dBm
-55 dBm;-53 dBm;-55 dBm;-54 dBm
-55 dBm;-52 dBm;-55 dBm;-54 dBm
-55 dBm;-55 dBm;-57 dBm;-55 dBm
-55 dBm;-55 dBm;-55 dBm;-57 dBm
-53 dBm;-55 dBm;-55 dBm;-57 dBm
-54 dBm;-55 dBm;-55 dBm;-58 dBm
-55 dBm;-71 dBm;-54 dBm;-55 dBm
-54 dBm;-54 dBm;-54 dBm;-52 dBm
-56 dBm;-53 dBm;-57 dBm;-54 dBm
-55 dBm;-54 dBm;-53 dBm;-55 dBm
-53 dBm;-55 dBm;-54 dBm;-54 dBm
-79 dBm;-55 dBm;-57 dBm;-71 dBm
-53 dBm;-53 dBm;-54 dBm;-53 dBm
-56 dBm;-54 dBm;-54 dBm;-53 dBm
-53 dBm;-54 dBm;-56 dBm;-54 dBm
-51 dBm;-54 dBm;-57 dBm;-54 dBm
-55 dBm;-55 dBm;-55 dBm;-54 dBm
-53 dBm;-54 dBm;-55 dBm;-54 dBm
-55 dBm;-54 dBm;-54 dBm;-55 dBm
-79 dBm;-52 dBm;-55 dBm;-55 dBm
-55 dBm;-55 dBm;-53 dBm;-57 dBm
-57 dBm;-52 dBm;-52 dBm;-58 dBm
-54 dBm;-52 dBm;-57 dBm;-58 dBm
-78 dBm;-54 dBm;-53 dBm;-58 dBm
