S1A1(3);S2A1(3);S1E1(3);S2E1(3)
-58 dBm;-53 dBm;-52 dBm;-54 dBm
-56 dBm;-54 dBm;-54 dBm;-53 dBm
-57 dBm;-55 dBm;-54 dBm;-53 dBm
-57 dBm;-55 dBm;-57 dBm;-54 dBm
-57 dBm;-54 dBm;-57 dBm;-52 dBm
-57 dBm;-54 dBm;-57 dBm;-53 dBm
-54 dBm;-55 dBm;-57 dBm;-57 dBm
-55 dBm;-84 dBm;-57 dBm;-51 dBm
-54 dBm;-54 dBm;-55 dBm;-54 dBm
-55 dBm;-55 dBm;-56 dBm;-54 dBm
-82 dBm;-81 dBm;-56 dBm;-54 dBm
-54 dBm;-55 dBm;-57 dBm;-53 dBm
-57 dBm;-54 dBm;-57 dBm;-57 dBm
-54 dBm;-52 dBm;-57 dBm;-57 dBm
-84 dBm;-54 dBm;-53 dBm;-56 dBm
-53 dBm;-52 dBm;-55 dBm;-57 dBm
-58 dBm;-54 dBm;-55 dBm;-54 dBm
-57 dBm;-54 dBm;-57 dBm;-54 dBm
-54 dBm;-80 dBm;-52 dBm;-53 dBm
-53 dBm;-52 dBm;-53 dBm;-53 dBm
-53 dBm;-56 dBm;-55 dBm;-71 dBm
-84 dBm;-80 dBm;-55 dBm;-57 dBm
-54 dBm;-54 dBm;-57 dBm;-54 dBm
-53 dBm;-54 dBm;-57 dBm;-53 dBm
-57 dBm;-79 dBm;-54 dBm;-71 dBm
-53 dBm;-55 dBm;-54 dBm;-54 dBm
-83 dBm;-54 dBm;-54 dBm;-53 dBm
-55 dBm;-54 dBm;-56 dBm;-53 dBm
-54 dBm;-55 dBm;-52 dBm;-52 dBm
-57 dBm;-54 dBm;-54 dBm;-55 dBm
-55 dBm;-55 dBm;-57 dBm;-54 dBm
-55 dBm;-55 dBm;-53 dBm;-55 dBm
-54 dBm;-81 dBm;-52 dBm;-57 dBm
-55 dBm;-54 dBm;-56 dBm;-57 dBm
-55 dBm;-54 dBm;-52 dBm;-55 dBm
-84 dBm;-72 dBm;-53 dBm;-53 dBm
-54 dBm;-54 dBm;-56 dBm;-55 dBm
-54 dBm;-82 dBm;-52 dBm;-52 dBm
-52 dBm;-55 dBm;-55 dBm;-55 dBm
-55 dBm;-54 dBm;-55 dBm;-54 dBm
-55 dBm;-55 dBm;-57 dBm;-57 dBm
-84 dBm;-53 dBm;-55 dBm;-57 dBm
-52 dBm;-79 dBm;-55 dBm;-57 dBm
-56 dBm;-54 dBm;-54 dBm;-57 dBm
-54 dBm;-53 dBm;-55 dBm;-52 dBm
-55 dBm;-54 dBm;-54 dBm;-54 dBm
-87 dBm;-52 dBm;-54 dBm;-71 dBm
-55 dBm;-55 dBm;-55 dBm;-53 dBm
-57 dBm;-52 dBm;-54 dBm;-53 dBm
-53 dBm;-54 dBm;-54 dBm;-52 dBm
-84 dBm;-57 dBm;-57 dBm;-57 dBm
-55 dBm;-52 dBm;-57 dBm;-57 dBm
-54 dBm;-53 dBm;-55 dBm;-54 dBm
-53 dBm;-53 dBm;-54 dBm;-72 dBm
-82 dBm;-52 dBm;-55 dBm;-57 dBm
-55 dBm;-53 dBm;-53 dBm;-57 dBm
-55 dBm;-54 dBm;-53 dBm;-55 dBm
-54 dBm;-54 dBm;-54 dBm;-55 dBm
-81 dBm;-80 dBm;-56 dBm;-55 dBm
-54 dBm;-55 dBm;-53 dBm;-54 dBm
-55 dBm;-55 dBm;-55 dBm;-54 dBm
-55 dBm;-81 dBm;-55 dBm;-57 dBm
-82 dBm;-54 dBm;-56 dBm;-57 dBm
-54 dBm;-55 dBm;-57 dBm;-57 dBm
-55 dBm;-55 dBm;-55 dBm;-89 dBm
-55 dBm;-54 dBm;-56 dBm;-55 dBm
-81 dBm;-54 dBm;-57 dBm;-53 dBm
-52 dBm;-80 dBm;-57 dBm;-90 dBm
-55 dBm;-55 dBm;-55 dBm;-55 dBm
-55 dBm;-55 dBm;-53 dBm;-55 dBm
-78 dBm;-55 dBm;-56 dBm;-53 dBm
-53 dBm;-54 dBm;-51 dBm;-87 dBm
-55 dBm;-79 dBm;-52 dBm;-55 dBm
-53 dBm;-53 dBm;-53 dBm;-55 dBm
-80 dBm;-54 dBm;-54 dBm;-53 dBm
-54 dBm;-54 dBm;-55 dBm;-53 dBm
-54 dBm;-54 dBm;-53 dBm;-52 dBm
-53 dBm;-54 dBm;-55 dBm;-54 dBm
-82 dBm;-55 dBm;-56 dBm;-87 dBm
-54 dBm;-80 dBm;-57 dBm;-53 dBm
-54 dBm;-55 dBm;-57 dBm;-54 dBm
-54 dBm;-55 dBm;-57 dBm;-72 dBm
-51 dBm;-79 dBm;-57 dBm;-52 dBm
-78 dBm;-54 dBm;-52 dBm;-52 dBm
-54 dBm;-54 dBm;-55 dBm;-54 dBm
-54 dBm;-54 dBm;-54 dBm;-52 dBm
-55 dBm;-53 dBm;-53 dBm;-52 dBm
-81 dBm;-54 dBm;-54 dBm;-72 dBm
-54 dBm;-55 dBm;-54 dBm;-52 dBm
-57 dBm;-55 dBm;-55 dBm;-55 dBm
-54 dBm;-79 dBm;-53 dBm;-51 dBm
-55 dBm;-54 dBm;-53 dBm;-54 dBm
-82 dBm;-55 dBm;-55 dBm;-54 dBm
-53 dBm;-54 dBm;-57 dBm;-52 dBm
-54 dBm;-54 dBm;-57 dBm;-53 dBm
-56 dBm;-52 dBm;-57 dBm;-53 dBm
-53 dBm;-81 dBm;-57 dBm;-72 dBm
-53 dBm;-55 dBm;-51 dBm;-53 dBm
-81 dBm;-53 dBm;-55 dBm;-53 dBm
-52 dBm;-54 dBm;-54 dBm;-54 dBm
-53 dBm;-53 dBm;-55 dBm;-53 dBm
-54 dBm;-81 dBm;-53 dBm;-55 dBm
-56 dBm;-54 dBm;-55 dBm;-57 dBm
-55 dBm;-54 dBm;-55 dBm;-57 dBm
-80 dBm;-81 dBm;-57 dBm;-88 dBm
-54 dBm;-53 dBm;-53 dBm;-55 dBm
-56 dBm;-54 dBm;-54 dBm;-87 dBm
-53 dBm;-52 dBm;-53 dBm;-52 dBm
-81 dBm;-54 dBm;-54 dBm;-54 dBm
-80 dBm;-54 dBm;-55 dBm;-54 dBm
-54 dBm;-72 dBm;-53 dBm;-53 dBm
-55 dBm;-54 dBm;-54 dBm;-53 dBm
-53 dBm;-53 dBm;-54 dBm;-53 dBm
-53 dBm;-52 dBm;-55 dBm;-52 dBm
-80 dBm;-53 dBm;-55 dBm;-53 dBm
-54 dBm;-81 dBm;-57 dBm;-71 dBm
-55 dBm;-54 dBm;-57 dBm;-53 dBm
-52 dBm;-54 dBm;-54 dBm;-53 dBm
-52 dBm;-78 dBm;-52 dBm;-54 dBm
-55 dBm;-55 dBm;-56 dBm;-53 dBm
-53 dBm;-53 dBm;-57 dBm;-54 dBm
-54 dBm;-54 dBm;-56 dBm;-54 dBm
-54 dBm;-54 dBm;-57 dBm;-53 dBm
-81 dBm;-53 dBm;-57 dBm;-51 dBm
-55 dBm;-55 dBm;-53 dBm;-55 dBm
-55 dBm;-55 dBm;-53 dBm;-55 dBm
-80 dBm;-54 dBm;-55 dBm;-71 dBm
-57 dBm;-79 dBm;-51 dBm;-52 dBm
-54 dBm;-78 dBm;-53 dBm;-89 dBm
-81 dBm;-54 dBm;-54 dBm;-54 dBm
-54 dBm;-54 dBm;-58 dBm;-72 dBm
-55 dBm;-79 dBm;-58 dBm;-52 dBm
-53 dBm;-54 dBm;-57 dBm;-54 dBm
-81 dBm;-54 dBm;-57 dBm;-55 dBm
-53 dBm;-79 dBm;-54 dBm;-54 dBm
-56 dBm;-54 dBm;-56 dBm;-54 dBm
-54 dBm;-54 dBm;-52 dBm;-57 dBm
-80 dBm;-55 dBm;-89 dBm;-58 dBm
-54 dBm;-54 dBm;-54 dBm;-57 dBm
-56 dBm;-55 dBm;-56 dBm;-57 dBm
-57 dBm;-54 dBm;-55 dBm;-54 dBm
-55 dBm;-82 dBm;-52 dBm;-57 dBm
-55 dBm;-53 dBm;-53 dBm;-58 dBm
-57 dBm;-54 dBm;-55 dBm;-57 dBm
-58 dBm;-54 dBm;-52 dBm;-58 dBm
-58 dBm;-80 dBm;-54 dBm;-55 dBm
-58 dBm;-55 dBm;-55 dBm;-55 dBm
-54 dBm;-54 dBm;-57 dBm;-55 dBm
-81 dBm;-55 dBm;-57 dBm;-55 dBm
-54 dBm;-55 dBm;-57 dBm;-52 dBm
-55 dBm;-79 dBm;-57 dBm;-52 dBm
-55 dBm;-53 dBm;-52 dBm;-57 dBm
-79 dBm;-72 dBm;-54 dBm;-58 dBm
-55 dBm;-52 dBm;-54 dBm;-57 dBm
-56 dBm;-54 dBm;-53 dBm;-57 dBm
-54 dBm;-53 dBm;-55 dBm;-52 dBm
-54 dBm;-79 dBm;-54 dBm;-53 dBm
-81 dBm;-79 dBm;-56 dBm;-55 dBm
-53 dBm;-55 dBm;-57 dBm;-54 dBm
-55 dBm;-55 dBm;-57 dBm;-53 dBm
-54 dBm;-53 dBm;-57 dBm;-54 dBm
-80 dBm;-53 dBm;-57 dBm;-52 dBm
-79 dBm;-58 dBm;-53 dBm;-54 dBm
-54 dBm;-54 dBm;-55 dBm;-55 dBm
-55 dBm;-72 dBm;-56 dBm;-53 dBm
-53 dBm;-53 dBm;-53 dBm;-53 dBm
-81 dBm;-54 dBm;-55 dBm;-54 dBm
-54 dBm;-55 dBm;-56 dBm;-52 dBm
-56 dBm;-54 dBm;-56 dBm;-52 dBm
-56 dBm;-71 dBm;-56 dBm;-57 dBm
-51 dBm;-55 dBm;-57 dBm;-57 dBm
-54 dBm;-81 dBm;-57 dBm;-57 dBm
-81 dBm;-55 dBm;-52 dBm;-58 dBm
-54 dBm;-54 dBm;-56 dBm;-53 dBm
-53 dBm;-79 dBm;-56 dBm;-72 dBm
-55 dBm;-79 dBm;-54 dBm;-53 dBm
-51 dBm;-54 dBm;-52 dBm;-88 dBm
-55 dBm;-72 dBm;-54 dBm;-55 dBm
-81 dBm;-55 dBm;-53 dBm;-54 dBm
-82 dBm;-81 dBm;-52 dBm;-55 dBm
-54 dBm;-55 dBm;-53 dBm;-55 dBm
-56 dBm;-54 dBm;-54 dBm;-71 dBm
-54 dBm;-52 dBm;-52 dBm;-57 dBm
-55 dBm;-55 dBm;-56 dBm;-53 dBm
-53 dBm;-69 dBm;-53 dBm;-57 dBm
-81 dBm;-71 dBm;-55 dBm;-57 dBm
-54 dBm;-55 dBm;-55 dBm;-58 dBm
-56 dBm;-81 dBm;-55 dBm;-58 dBm
-54 dBm;-53 dBm;-57 dBm;-53 dBm
-80 dBm;-53 dBm;-57 dBm;-52 dBm
-54 dBm;-55 dBm;-57 dBm;-51 dBm
-54 dBm;-55 dBm;-58 dBm;-54 dBm
-81 dBm;-81 dBm;-52 dBm;-72 dBm
-57 dBm;-53 dBm;-55 dBm;-52 dBm
-54 dBm;-54 dBm;-56 dBm;-54 dBm
-55 dBm;-78 dBm;-52 dBm;-55 dBm
-53 dBm;-54 dBm;-54 dBm;-54 dBm
-55 dBm;-53 dBm;-56 dBm;-55 dBm
-79 dBm;-54 dBm;-58 dBm;-54 dBm
-54 dBm;-54 dBm;-57 dBm;-71 dBm
-55 dBm;-54 dBm;-58 dBm;-58 dBm
-54 dBm;-54 dBm;-57 dBm;-55 dBm
-53 dBm;-79 dBm;-53 dBm;-69 dBm
-54 dBm;-54 dBm;-54 dBm;-57 dBm
-56 dBm;-55 dBm;-56 dBm;-90 dBm
-55 dBm;-79 dBm;-55 dBm;-53 dBm
-54 dBm;-54 dBm;-53 dBm;-54 dBm
-56 dBm;-53 dBm;-55 dBm;-54 dBm
-54 dBm;-54 dBm;-56 dBm;-55 dBm
-55 dBm;-54 dBm;-52 dBm;-54 dBm
-80 dBm;-71 dBm;-54 dBm;-69 dBm
-54 dBm;-54 dBm;-53 dBm;-53 dBm
-55 dBm;-53 dBm;-56 dBm;-54 dBm
-55 dBm;-53 dBm;-57 dBm;-53 dBm
-54 dBm;-53 dBm;-58 dBm;-52 dBm
-81 dBm;-80 dBm;-58 dBm;-71 dBm
-51 dBm;-54 dBm;-57 dBm;-55 dBm
-88 dBm;-54 dBm;-53 dBm;-54 dBm
-55 dBm;-53 dBm;-55 dBm;-72 dBm
-54 dBm;-55 dBm;-55 dBm;-55 dBm
-53 dBm;-55 dBm;-52 dBm;-55 dBm
-55 dBm;-80 dBm;-54 dBm;-55 dBm
-54 dBm;-54 dBm;-56 dBm;-55 dBm
-80 dBm;-71 dBm;-52 dBm;-72 dBm
-55 dBm;-54 dBm;-54 dBm;-52 dBm
-54 dBm;-81 dBm;-56 dBm;-54 dBm
-55 dBm;-54 dBm;-57 dBm;-72 dBm
-53 dBm;-54 dBm;-57 dBm;-55 dBm
-82 dBm;-73 dBm;-54 dBm;-54 dBm
-55 dBm;-52 dBm;-55 dBm;-54 dBm
-55 dBm;-55 dBm;-55 dBm;-54 dBm
-52 dBm;-72 dBm;-55 dBm;-54 dBm
-80 dBm;-54 dBm;-55 dBm;-54 dBm
-55 dBm;-80 dBm;-57 dBm;-71 dBm
-57 dBm;-54 dBm;-57 dBm;-54 dBm
-54 dBm;-54 dBm;-57 dBm;-54 dBm
-54 dBm;-81 dBm;-56 dBm;-68 dBm
-54 dBm;-54 dBm;-57 dBm;-55 dBm
-54 dBm;-54 dBm;-57 dBm;-89 dBm
-55 dBm;-54 dBm;-57 dBm;-54 dBm
-54 dBm;-55 dBm;-53 dBm;-69 dBm
-53 dBm;-54 dBm;-88 dBm;-54 dBm
-81 dBm;-81 dBm;-54 dBm;-54 dBm
-53 dBm;-54 dBm;-55 dBm;-72 dBm
-55 dBm;-54 dBm;-55 dBm;-54 dBm
-56 dBm;-53 dBm;-56 dBm;-54 dBm
-54 dBm;-54 dBm;-53 dBm;-72 dBm
-54 dBm;-52 dBm;-53 dBm;-54 dBm
-55 dBm;-54 dBm;-52 dBm;-54 dBm
-81 dBm;-55 dBm;-54 dBm;-55 dBm
-54 dBm;-54 dBm;-57 dBm;-55 dBm
-56 dBm;-54 dBm;-58 dBm;-52 dBm
-54 dBm;-81 dBm;-57 dBm;-54 dBm
-80 dBm;-54 dBm;-57 dBm;-52 dBm
-55 dBm;-71 dBm;-53 dBm;-55 dBm
-56 dBm;-68 dBm;-55 dBm;-72 dBm
-54 dBm;-54 dBm;-53 dBm;-52 dBm
-79 dBm;-54 dBm;-89 dBm;-88 dBm
-53 dBm;-54 dBm;-55 dBm;-55 dBm
-54 dBm;-54 dBm;-54 dBm;-55 dBm
-56 dBm;-53 dBm;-52 dBm;-71 dBm
-58 dBm;-80 dBm;-55 dBm;-55 dBm
-55 dBm;-54 dBm;-56 dBm;-55 dBm
-55 dBm;-55 dBm;-55 dBm;-72 dBm
-81 dBm;-81 dBm;-58 dBm;-53 dBm
-81 dBm;-55 dBm;-57 dBm;-88 dBm
-55 dBm;-55 dBm;-58 dBm;-54 dBm
-55 dBm;-54 dBm;-56 dBm;-68 dBm
-55 dBm;-81 dBm;-57 dBm;-55 dBm
-53 dBm;-53 dBm;-57 dBm;-54 dBm
-82 dBm;-71 dBm;-57 dBm;-55 dBm
-54 dBm;-52 dBm;-57 dBm;-54 dBm
-55 dBm;-82 dBm;-56 dBm;-54 dBm
-54 dBm;-53 dBm;-57 dBm;-55 dBm
-54 dBm;-54 dBm;-58 dBm;-54 dBm
-81 dBm;-79 dBm;-57 dBm;-55 dBm
-55 dBm;-54 dBm;-57 dBm;-54 dBm
-55 dBm;-54 dBm;-56 dBm;-55 dBm
-54 dBm;-53 dBm;-57 dBm;-52 dBm
-81 dBm;-53 dBm;-56 dBm;-55 dBm
-54 dBm;-54 dBm;-55 dBm;-55 dBm
-55 dBm;-54 dBm;-57 dBm;-90 dBm
-53 dBm;-80 dBm;-56 dBm;-86 dBm
-81 dBm;-54 dBm;-52 dBm;-53 dBm
-55 dBm;-72 dBm;-90 dBm;-71 dBm
-55 dBm;-54 dBm;-55 dBm;-54 dBm
-56 dBm;-51 dBm;-54 dBm;-55 dBm
-54 dBm;-56 dBm;-57 dBm;-54 dBm
-81 dBm;-52 dBm;-53 dBm;-54 dBm
-55 dBm;-80 dBm;-57 dBm;-72 dBm
-56 dBm;-54 dBm;-52 dBm;-54 dBm
-56 dBm;-53 dBm;-52 dBm;-54 dBm
-82 dBm;-53 dBm;-53 dBm;-72 dBm
-55 dBm;-53 dBm;-86 dBm;-55 dBm
-56 dBm;-54 dBm;-57 dBm;-53 dBm
-82 dBm;-51 dBm;-53 dBm;-55 dBm
-55 dBm;-55 dBm;-53 dBm;-53 dBm
-56 dBm;-54 dBm;-54 dBm;-54 dBm
-55 dBm;-53 dBm;-58 dBm;-54 dBm
-81 dBm;-55 dBm;-58 dBm;-71 dBm
-54 dBm;-53 dBm;-54 dBm;-54 dBm
-56 dBm;-79 dBm;-89 dBm;-55 dBm
-54 dBm;-54 dBm;-57 dBm;-54 dBm
-81 dBm;-55 dBm;-58 dBm;-54 dBm
-53 dBm;-54 dBm;-56 dBm;-54 dBm
-57 dBm;-56 dBm;-57 dBm;-54 dBm
-54 dBm;-54 dBm;-56 dBm;-72 dBm
-81 dBm;-54 dBm;-55 dBm;-54 dBm
-54 dBm;-54 dBm;-54 dBm;-54 dBm
-55 dBm;-55 dBm;-55 dBm;-54 dBm
-51 dBm;-52 dBm;-55 dBm;-54 dBm
-80 dBm;-54 dBm;-57 dBm;-68 dBm
-54 dBm;-54 dBm;-57 dBm;-54 dBm
-56 dBm;-53 dBm;-57 dBm;-54 dBm
-55 dBm;-53 dBm;-57 dBm;-52 dBm
-55 dBm;-72 dBm;-57 dBm;-55 dBm
-80 dBm;-55 dBm;-57 dBm;-53 dBm
-55 dBm;-54 dBm;-89 dBm;-51 dBm
-55 dBm;-54 dBm;-55 dBm;-54 dBm
-54 dBm;-80 dBm;-58 dBm;-54 dBm
-80 dBm;-52 dBm;-53 dBm;-54 dBm
-53 dBm;-55 dBm;-55 dBm;-54 dBm
-56 dBm;-81 dBm;-57 dBm;-54 dBm
-52 dBm;-55 dBm;-54 dBm;-55 dBm
-55 dBm;-71 dBm;-54 dBm;-55 dBm
-80 dBm;-54 dBm;-55 dBm;-71 dBm
-54 dBm;-55 dBm;-56 dBm;-54 dBm
-55 dBm;-78 dBm;-52 dBm;-54 dBm
-55 dBm;-54 dBm;-54 dBm;-71 dBm
-54 dBm;-72 dBm;-55 dBm;-54 dBm
-56 dBm;-54 dBm;-54 dBm;-53 dBm
-56 dBm;-52 dBm;-55 dBm;-54 dBm
-55 dBm;-54 dBm;-54 dBm;-88 dBm
-55 dBm;-77 dBm;-54 dBm;-53 dBm
-80 dBm;-77 dBm;-89 dBm;-71 dBm
-52 dBm;-55 dBm;-54 dBm;-55 dBm
-57 dBm;-68 dBm;-54 dBm;-54 dBm
-58 dBm;-55 dBm;-54 dBm;-71 dBm
-57 dBm;-53 dBm;-57 dBm;-53 dBm
-54 dBm;-53 dBm;-57 dBm;-53 dBm
-82 dBm;-78 dBm;-57 dBm;-72 dBm
-54 dBm;-52 dBm;-57 dBm;-55 dBm
-57 dBm;-55 dBm;-56 dBm;-54 dBm
-58 dBm;-54 dBm;-57 dBm;-52 dBm
-54 dBm;-78 dBm;-58 dBm;-54 dBm
-54 dBm;-55 dBm;-58 dBm;-55 dBm
-54 dBm;-54 dBm;-53 dBm;-71 dBm
-79 dBm;-55 dBm;-55 dBm;-54 dBm
-53 dBm;-54 dBm;-53 dBm;-54 dBm
-57 dBm;-55 dBm;-55 dBm;-54 dBm
-54 dBm;-54 dBm;-51 dBm;-55 dBm
-55 dBm;-80 dBm;-87 dBm;-55 dBm
-80 dBm;-79 dBm;-55 dBm;-72 dBm
-79 dBm;-54 dBm;-55 dBm;-55 dBm
-53 dBm;-54 dBm;-54 dBm;-54 dBm
-57 dBm;-79 dBm;-54 dBm;-54 dBm
-54 dBm;-52 dBm;-57 dBm;-52 dBm
-80 dBm;-71 dBm;-54 dBm;-54 dBm
-53 dBm;-54 dBm;-55 dBm;-54 dBm
-54 dBm;-80 dBm;-54 dBm;-54 dBm
-57 dBm;-54 dBm;-57 dBm;-55 dBm
-55 dBm;-54 dBm;-55 dBm;-54 dBm
-53 dBm;-81 dBm;-54 dBm;-54 dBm
-79 dBm;-54 dBm;-55 dBm;-71 dBm
-55 dBm;-82 dBm;-54 dBm;-54 dBm
-55 dBm;-55 dBm;-55 dBm;-55 dBm
-57 dBm;-54 dBm;-57 dBm;-72 dBm
-58 dBm;-81 dBm;-54 dBm;-54 dBm
-57 dBm;-55 dBm;-54 dBm;-54 dBm
-80 dBm;-71 dBm;-56 dBm;-54 dBm
-54 dBm;-54 dBm;-54 dBm;-55 dBm
-57 dBm;-81 dBm;-56 dBm;-55 dBm
-55 dBm;-54 dBm;-54 dBm;-54 dBm
-80 dBm;-54 dBm;-51 dBm;-54 dBm
-54 dBm;-54 dBm;-53 dBm;-54 dBm
-56 dBm;-54 dBm;-55 dBm;-54 dBm
-53 dBm;-54 dBm;-54 dBm;-54 dBm
-82 dBm;-54 dBm;-52 dBm;-71 dBm
-53 dBm;-54 dBm;-52 dBm;-54 dBm
-53 dBm;-54 dBm;-52 dBm;-54 dBm
-53 dBm;-82 dBm;-54 dBm;-54 dBm
-55 dBm;-54 dBm;-54 dBm;-55 dBm
-53 dBm;-54 dBm;-55 dBm;-54 dBm
-81 dBm;-54 dBm;-54 dBm;-54 dBm
-52 dBm;-79 dBm;-52 dBm;-55 dBm
-54 dBm;-55 dBm;-54 dBm;-54 dBm
-55 dBm;-69 dBm;-54 dBm;-54 dBm
-55 dBm;-54 dBm;-56 dBm;-54 dBm
-55 dBm;-78 dBm;-56 dBm;-54 dBm
-58 dBm;-54 dBm;-55 dBm;-54 dBm
-58 dBm;-72 dBm;-57 dBm;-54 dBm
-58 dBm;-55 dBm;-56 dBm;-54 dBm
-58 dBm;-54 dBm;-56 dBm;-54 dBm
-58 dBm;-54 dBm;-57 dBm;-54 dBm
-57 dBm;-54 dBm;-57 dBm;-54 dBm
-57 dBm;-52 dBm;-57 dBm;-52 dBm
-58 dBm;-52 dBm;-57 dBm;-55 dBm
-57 dBm;-55 dBm;-58 dBm;-55 dBm
-57 dBm;-81 dBm;-58 dBm;-55 dBm
-57 dBm;-55 dBm;-57 dBm;-71 dBm
-58 dBm;-54 dBm;-57 dBm;-55 dBm
-57 dBm;-81 dBm;-55 dBm;-54 dBm
-57 dBm;-54 dBm;-54 dBm;-54 dBm
-57 dBm;-54 dBm;-55 dBm;-54 dBm
-58 dBm;-54 dBm;-55 dBm;-72 dBm
-57 dBm;-81 dBm;-55 dBm;-52 dBm
-57 dBm;-54 dBm;-57 dBm;-55 dBm
-53 dBm;-54 dBm;-57 dBm;-71 dBm
-81 dBm;-54 dBm;-55 dBm;-54 dBm
-81 dBm;-55 dBm;-54 dBm;-54 dBm
-54 dBm;-54 dBm;-56 dBm;-72 dBm
-58 dBm;-80 dBm;-58 dBm;-54 dBm
-55 dBm;-54 dBm;-57 dBm;-54 dBm
-80 dBm;-54 dBm;-89 dBm;-72 dBm
-52 dBm;-80 dBm;-55 dBm;-54 dBm
-57 dBm;-54 dBm;-52 dBm;-55 dBm
-54 dBm;-72 dBm;-57 dBm;-55 dBm
-82 dBm;-54 dBm;-57 dBm;-54 dBm
-54 dBm;-79 dBm;-58 dBm;-71 dBm
-58 dBm;-54 dBm;-55 dBm;-54 dBm
-57 dBm;-54 dBm;-55 dBm;-54 dBm
-54 dBm;-80 dBm;-57 dBm;-69 dBm
-55 dBm;-54 dBm;-54 dBm;-54 dBm
-54 dBm;-53 dBm;-54 dBm;-53 dBm
-54 dBm;-53 dBm;-54 dBm;-53 dBm
-54 dBm;-54 dBm;-55 dBm;-71 dBm
-54 dBm;-54 dBm;-55 dBm;-54 dBm
-82 dBm;-55 dBm;-54 dBm;-52 dBm
-55 dBm;-54 dBm;-54 dBm;-54 dBm
-55 dBm;-54 dBm;-57 dBm;-72 dBm
-55 dBm;-79 dBm;-54 dBm;-55 dBm
-55 dBm;-54 dBm;-54 dBm;-54 dBm
-55 dBm;-55 dBm;-54 dBm;-54 dBm
-57 dBm;-55 dBm;-55 dBm;-55 dBm
-57 dBm;-54 dBm;-54 dBm;-54 dBm
-56 dBm;-54 dBm;-54 dBm;-54 dBm
-56 dBm;-55 dBm;-55 dBm;-54 dBm
-56 dBm;-54 dBm;-52 dBm;-54 dBm
-58 dBm;-78 dBm;-57 dBm;-54 dBm
-57 dBm;-54 dBm;-52 dBm;-68 dBm
-57 dBm;-55 dBm;-54 dBm;-54 dBm
-57 dBm;-80 dBm;-54 dBm;-55 dBm
-56 dBm;-54 dBm;-57 dBm;-54 dBm
-55 dBm;-54 dBm;-54 dBm;-54 dBm
-56 dBm;-54 dBm;-56 dBm;-54 dBm
-57 dBm;-54 dBm;-53 dBm;-55 dBm
-58 dBm;-55 dBm;-53 dBm;-54 dBm
-57 dBm;-81 dBm;-57 dBm;-54 dBm
-58 dBm;-53 dBm;-54 dBm;-54 dBm
-53 dBm;-54 dBm;-54 dBm;-54 dBm
-57 dBm;-54 dBm;-54 dBm;-54 dBm
-54 dBm;-54 dBm;-55 dBm;-54 dBm
-54 dBm;-54 dBm;-55 dBm;-54 dBm
-54 dBm;-79 dBm;-58 dBm;-54 dBm
-79 dBm;-54 dBm;-55 dBm;-55 dBm
-54 dBm;-53 dBm;-53 dBm;-69 dBm
-53 dBm;-80 dBm;-54 dBm;-53 dBm
-54 dBm;-53 dBm;-55 dBm;-52 dBm
-54 dBm;-54 dBm;-54 dBm;-55 dBm
-53 dBm;-54 dBm;-54 dBm;-54 dBm
-55 dBm;-54 dBm;-51 dBm;-68 dBm
-55 dBm;-79 dBm;-52 dBm;-55 dBm
-79 dBm;-53 dBm;-53 dBm;-54 dBm
-54 dBm;-71 dBm;-52 dBm;-71 dBm
-57 dBm;-54 dBm;-88 dBm;-54 dBm
-54 dBm;-80 dBm;-52 dBm;-55 dBm
-81 dBm;-54 dBm;-55 dBm;-54 dBm
-54 dBm;-54 dBm;-55 dBm;-55 dBm
-57 dBm;-79 dBm;-54 dBm;-54 dBm
-54 dBm;-54 dBm;-55 dBm;-54 dBm
-80 dBm;-54 dBm;-54 dBm;-54 dBm
-54 dBm;-72 dBm;-55 dBm;-54 dBm
-57 dBm;-54 dBm;-55 dBm;-52 dBm
-54 dBm;-54 dBm;-54 dBm;-54 dBm
-54 dBm;-54 dBm;-54 dBm;-54 dBm
-54 dBm;-80 dBm;-54 dBm;-53 dBm
-80 dBm;-52 dBm;-54 dBm;-55 dBm
-55 dBm;-54 dBm;-54 dBm;-55 dBm
-57 dBm;-80 dBm;-55 dBm;-54 dBm
-54 dBm;-54 dBm;-55 dBm;-54 dBm
-54 dBm;-53 dBm;-54 dBm;-54 dBm
-79 dBm;-54 dBm;-55 dBm;-53 dBm
-55 dBm;-54 dBm;-55 dBm;-54 dBm
-57 dBm;-54 dBm;-54 dBm;-51 dBm
-55 dBm;-54 dBm;-54 dBm;-55 dBm
-54 dBm;-54 dBm;-54 dBm;-55 dBm
-54 dBm;-80 dBm;-55 dBm;-54 dBm
-54 dBm;-53 dBm;-54 dBm;-54 dBm
-81 dBm;-68 dBm;-55 dBm;-55 dBm
-53 dBm;-52 dBm;-52 dBm;-54 dBm
-57 dBm;-54 dBm;-54 dBm;-54 dBm
-54 dBm;-54 dBm;-55 dBm;-54 dBm
-80 dBm;-54 dBm;-55 dBm;-55 dBm
-54 dBm;-54 dBm;-55 dBm;-54 dBm
-57 dBm;-54 dBm;-55 dBm;-52 dBm
-58 dBm;-54 dBm;-54 dBm;-54 dBm
-55 dBm;-80 dBm;-54 dBm;-54 dBm
-82 dBm;-55 dBm;-54 dBm;-54 dBm
