No.;Time;signal strength;Source;Destination;Info;Length;;;S1;S2
6369;297.788.571.540;-52 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=406/38401, ttl=64 (reply in 6370);161;;192.168.1.106;;-52 dBm
6370;297.885.865.734;-72 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=406/38401, ttl=64 (request in 6369);172;;192.168.1.106;;-72 dBm
6371;297.887.907.067;-53 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=406/38401, ttl=64;161;;192.168.1.106;;-53 dBm
6372;298.028.808.993;;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=461/52481, ttl=64 (no response found!);162;192.168.1.102;;0;
6374;298.031.098.720;-52 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=461/52481, ttl=64 (reply in 6378);161;192.168.1.102;;-52 dBm;
6378;298.131.261.341;-71 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=461/52481, ttl=64 (request in 6374);172;192.168.1.102;;-71 dBm;
6379;298.132.956.515;-53 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=461/52481, ttl=64;161;192.168.1.102;;-53 dBm;
6380;298.132.985.433;-52 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=461/52481, ttl=64;161;192.168.1.102;;-52 dBm;
6386;298.727.890.061;-61 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=407/38657, ttl=64 (no response found!);161;;192.168.1.106;;-61 dBm
6387;299.016.118.267;-54 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=407/38657, ttl=64 (reply in 6398);161;;192.168.1.106;;-54 dBm
6388;299.033.115.896;;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=462/52737, ttl=64 (no response found!);162;192.168.1.102;;0;
6390;299.033.789.949;;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=462/52737, ttl=64 (no response found!);162;192.168.1.102;;0;
6392;299.035.278.061;-53 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=462/52737, ttl=64 (reply in 6399);161;192.168.1.102;;-53 dBm;
6398;299.120.375.347;-52 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=407/38657, ttl=64 (request in 6387);161;;192.168.1.106;;-52 dBm
6399;299.120.412.153;-52 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=462/52737, ttl=64 (request in 6392);161;192.168.1.102;;-52 dBm;
6407;299.732.021.909;-62 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=408/38913, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
6408;300.034.513.464;;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=463/52993, ttl=64 (no response found!);162;192.168.1.102;;0;
6413;300.251.410.349;;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=408/38913, ttl=64 (no response found!);162;;192.168.1.106;;0
6414;300.251.432.582;-52 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=463/52993, ttl=64 (no response found!);172;192.168.1.102;;-52 dBm;
6415;300.253.913.134;;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=408/38913, ttl=64 (reply in 6417);162;;192.168.1.106;;0
6416;300.253.932.782;-53 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=463/52993, ttl=64 (reply in 6418);172;192.168.1.102;;-53 dBm;
6417;300.357.826.487;-71 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=408/38913, ttl=64 (request in 6415);172;;192.168.1.106;;-71 dBm
6418;300.358.086.887;-70 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=463/52993, ttl=64 (request in 6416);172;192.168.1.102;;-70 dBm;
6419;300.359.984.239;-53 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=408/38913, ttl=64;161;;192.168.1.106;;-53 dBm
6420;300.436.607.126;-53 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=463/52993, ttl=64;161;192.168.1.102;;-53 dBm;
6425;300.728.528.797;-61 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=409/39169, ttl=64 (no response found!);161;;192.168.1.106;;-61 dBm
6426;301.034.423.938;;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=464/53249, ttl=64 (no response found!);162;192.168.1.102;;0;
6431;301.168.036.236;;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=409/39169, ttl=64 (reply in 6434);162;;192.168.1.106;;0
6432;301.168.062.966;-53 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=464/53249, ttl=64 (no response found!);172;192.168.1.102;;-53 dBm;
6433;301.168.881.053;-52 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=464/53249, ttl=64 (reply in 6435);161;192.168.1.102;;-52 dBm;
6434;301.267.881.482;-71 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=409/39169, ttl=64 (request in 6431);172;;192.168.1.106;;-71 dBm
6435;301.268.235.289;-70 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=464/53249, ttl=64 (request in 6433);172;192.168.1.102;;-70 dBm;
6436;301.270.805.554;-54 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=409/39169, ttl=64;161;;192.168.1.106;;-54 dBm
6437;301.270.842.848;-53 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=464/53249, ttl=64;161;192.168.1.102;;-53 dBm;
6438;301.270.858.631;-53 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=464/53249, ttl=64;161;192.168.1.102;;-53 dBm;
6439;301.270.873.991;-53 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=464/53249, ttl=64;161;192.168.1.102;;-53 dBm;
6440;301.270.892.841;-52 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=464/53249, ttl=64;161;192.168.1.102;;-52 dBm;
6441;301.270.908.966;-52 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=464/53249, ttl=64;161;192.168.1.102;;-52 dBm;
6452;301.728.576.986;-62 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=410/39425, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
6453;301.789.993.588;-53 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=410/39425, ttl=64 (reply in 6454);161;;192.168.1.106;;-53 dBm
6454;301.888.312.110;-71 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=410/39425, ttl=64 (request in 6453);172;;192.168.1.106;;-71 dBm
6455;301.890.323.530;-54 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=410/39425, ttl=64;161;;192.168.1.106;;-54 dBm
6456;302.034.564.676;;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=465/53505, ttl=64 (no response found!);162;192.168.1.102;;0;
6458;302.036.760.652;-53 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=465/53505, ttl=64 (reply in 6465);161;192.168.1.102;;-53 dBm;
6465;302.135.707.246;-70 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=465/53505, ttl=64 (request in 6458);172;192.168.1.102;;-70 dBm;
6466;302.137.725.199;-53 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=465/53505, ttl=64;161;192.168.1.102;;-53 dBm;
6473;302.730.094.734;-62 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=411/39681, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
6476;303.011.650.974;-52 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=411/39681, ttl=64 (reply in 6488);161;;192.168.1.106;;-52 dBm
6477;303.035.717.950;;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=466/53761, ttl=64 (no response found!);162;192.168.1.102;;0;
6479;303.037.263.742;-52 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=466/53761, ttl=64 (no response found!);161;192.168.1.102;;-52 dBm;
6480;303.037.287.283;-51 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=466/53761, ttl=64 (no response found!);161;192.168.1.102;;-51 dBm;
6481;303.037.302.597;-53 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=466/53761, ttl=64 (no response found!);161;192.168.1.102;;-53 dBm;
6482;303.038.427.332;-52 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=466/53761, ttl=64 (no response found!);161;192.168.1.102;;-52 dBm;
6483;303.038.451.400;-54 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=466/53761, ttl=64 (no response found!);161;192.168.1.102;;-54 dBm;
6484;303.039.426.457;-52 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=466/53761, ttl=64 (reply in 6489);161;192.168.1.102;;-52 dBm;
6488;303.108.120.212;-70 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=411/39681, ttl=64 (request in 6476);172;;192.168.1.106;;-70 dBm
6489;303.108.470.537;-71 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=466/53761, ttl=64 (request in 6484);172;192.168.1.102;;-71 dBm;
6490;303.111.242.169;-53 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=466/53761, ttl=64;161;192.168.1.102;;-53 dBm;
6491;303.111.279.568;-52 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=411/39681, ttl=64;161;;192.168.1.106;;-52 dBm
6492;303.111.311.382;-52 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=466/53761, ttl=64;161;192.168.1.102;;-52 dBm;
6493;303.111.332.570;-54 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=466/53761, ttl=64;161;192.168.1.102;;-54 dBm;
6494;303.112.107.552;-52 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=466/53761, ttl=64;161;192.168.1.102;;-52 dBm;
6495;303.112.854.169;-53 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=466/53761, ttl=64;161;192.168.1.102;;-53 dBm;
6502;303.731.488.264;-62 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=412/39937, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
6503;303.939.249.085;-53 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=412/39937, ttl=64 (no response found!);161;;192.168.1.106;;-53 dBm
6504;303.939.280.026;-52 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=412/39937, ttl=64 (no response found!);161;;192.168.1.106;;-52 dBm
6505;303.939.296.541;-52 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=412/39937, ttl=64 (no response found!);161;;192.168.1.106;;-52 dBm
6506;303.939.312.128;-53 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=412/39937, ttl=64 (no response found!);161;;192.168.1.106;;-53 dBm
6507;303.940.695.958;-52 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=412/39937, ttl=64 (no response found!);161;;192.168.1.106;;-52 dBm
6508;303.940.720.107;-53 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=412/39937, ttl=64 (no response found!);161;;192.168.1.106;;-53 dBm
6509;303.940.737.192;-52 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=412/39937, ttl=64 (no response found!);161;;192.168.1.106;;-52 dBm
6510;303.940.752.808;-53 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=412/39937, ttl=64 (reply in 6514);161;;192.168.1.106;;-53 dBm
6511;304.033.743.864;-63 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=467/54017, ttl=64 (no response found!);172;192.168.1.102;;-63 dBm;
6512;304.035.827.988;-52 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=467/54017, ttl=64 (no response found!);161;192.168.1.102;;-52 dBm;
6513;304.035.851.664;-53 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=467/54017, ttl=64 (no response found!);161;192.168.1.102;;-53 dBm;
6514;304.035.889.906;-71 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=412/39937, ttl=64 (request in 6510);172;;192.168.1.106;;-71 dBm
6516;304.037.134.239;-53 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=467/54017, ttl=64 (no response found!);161;192.168.1.102;;-53 dBm;
6517;304.037.158.898;-52 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=467/54017, ttl=64 (reply in 6521);161;192.168.1.102;;-52 dBm;
6518;304.038.102.331;-53 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=412/39937, ttl=64;161;;192.168.1.106;;-53 dBm
6521;304.135.783.777;-70 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=467/54017, ttl=64 (request in 6517);172;192.168.1.102;;-70 dBm;
6523;304.136.630.803;-52 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=467/54017, ttl=64;172;192.168.1.102;;-52 dBm;
6531;304.734.226.354;-61 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=413/40193, ttl=64 (no response found!);161;;192.168.1.106;;-61 dBm
6532;304.735.725.739;-52 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=413/40193, ttl=64 (reply in 6533);161;;192.168.1.106;;-52 dBm
6533;304.835.641.161;-71 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=413/40193, ttl=64 (request in 6532);172;;192.168.1.106;;-71 dBm
6534;304.843.849.878;-53 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=413/40193, ttl=64;161;;192.168.1.106;;-53 dBm
6535;305.037.706.619;-62 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=468/54273, ttl=64 (no response found!);172;192.168.1.102;;-62 dBm;
6537;305.043.919.452;-52 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=468/54273, ttl=64 (reply in 6546);161;192.168.1.102;;-52 dBm;
6546;305.148.189.123;-71 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=468/54273, ttl=64 (request in 6537);172;192.168.1.102;;-71 dBm;
6547;305.150.380.501;-52 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=468/54273, ttl=64;161;192.168.1.102;;-52 dBm;
6548;305.150.404.718;-53 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=468/54273, ttl=64;161;192.168.1.102;;-53 dBm;
6549;305.150.421.349;-52 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=468/54273, ttl=64;161;192.168.1.102;;-52 dBm;
6550;305.152.063.115;-52 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=468/54273, ttl=64;161;192.168.1.102;;-52 dBm;
6551;305.152.087.376;-52 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=468/54273, ttl=64;161;192.168.1.102;;-52 dBm;
6552;305.152.119.353;-54 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=468/54273, ttl=64;161;192.168.1.102;;-54 dBm;
6557;305.734.314.245;-63 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=414/40449, ttl=64 (no response found!);161;;192.168.1.106;;-63 dBm
6558;305.779.738.487;-53 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=414/40449, ttl=64 (reply in 6559);161;;192.168.1.106;;-53 dBm
6559;305.878.341.577;-71 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=414/40449, ttl=64 (request in 6558);172;;192.168.1.106;;-71 dBm
6560;305.878.389.251;-71 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=414/40449, ttl=64;172;;192.168.1.106;;-71 dBm
6561;305.880.464.752;-53 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=414/40449, ttl=64;161;;192.168.1.106;;-53 dBm
6562;306.041.440.260;;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=469/54529, ttl=64 (no response found!);162;192.168.1.102;;0;
6564;306.043.757.605;-53 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=469/54529, ttl=64 (reply in 6569);161;192.168.1.102;;-53 dBm;
6569;306.148.108.954;-71 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=469/54529, ttl=64 (request in 6564);172;192.168.1.102;;-71 dBm;
6570;306.150.101.739;-52 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=469/54529, ttl=64;161;192.168.1.102;;-52 dBm;
6575;306.735.310.608;-63 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=415/40705, ttl=64 (no response found!);161;;192.168.1.106;;-63 dBm
6578;307.008.751.149;-52 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=415/40705, ttl=64 (no response found!);161;;192.168.1.106;;-52 dBm
6579;307.008.776.106;-52 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=415/40705, ttl=64 (reply in 6588);161;;192.168.1.106;;-52 dBm
6580;307.044.264.575;;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=470/54785, ttl=64 (no response found!);162;192.168.1.102;;0;
6582;307.046.691.291;-52 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=470/54785, ttl=64 (no response found!);161;192.168.1.102;;-52 dBm;
6583;307.046.715.441;-53 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=470/54785, ttl=64 (reply in 6589);161;192.168.1.102;;-53 dBm;
6588;307.107.629.919;-71 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=415/40705, ttl=64 (request in 6579);172;;192.168.1.106;;-71 dBm
6589;307.107.960.769;-71 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=470/54785, ttl=64 (request in 6583);172;192.168.1.102;;-71 dBm;
6590;307.108.267.026;-70 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=470/54785, ttl=64;172;192.168.1.102;;-70 dBm;
6591;307.110.162.701;-52 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=415/40705, ttl=64;161;;192.168.1.106;;-52 dBm
6592;307.110.211.186;-54 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=470/54785, ttl=64;161;192.168.1.102;;-54 dBm;
6593;307.110.918.249;-52 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=470/54785, ttl=64;161;192.168.1.102;;-52 dBm;
6594;307.110.947.534;-54 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=470/54785, ttl=64;161;192.168.1.102;;-54 dBm;
6599;307.736.454.549;-62 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=416/40961, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
6600;307.928.450.023;-52 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=416/40961, ttl=64 (reply in 6601);161;;192.168.1.106;;-52 dBm
6601;308.026.997.713;-71 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=416/40961, ttl=64 (request in 6600);172;;192.168.1.106;;-71 dBm
6602;308.028.699.855;-53 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=416/40961, ttl=64;161;;192.168.1.106;;-53 dBm
6603;308.043.442.404;;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=471/55041, ttl=64 (no response found!);162;192.168.1.102;;0;
6605;308.045.368.789;-53 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=471/55041, ttl=64 (reply in 6609);161;192.168.1.102;;-53 dBm;
6609;308.146.293.209;-70 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=471/55041, ttl=64 (request in 6605);172;192.168.1.102;;-70 dBm;
6610;308.148.476.934;-52 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=471/55041, ttl=64;161;192.168.1.102;;-52 dBm;
6612;308.737.563.612;-61 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=417/41217, ttl=64 (no response found!);161;;192.168.1.106;;-61 dBm
6613;308.737.588.430;-62 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=417/41217, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
6617;308.848.195.666;-53 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=417/41217, ttl=64 (reply in 6618);161;;192.168.1.106;;-53 dBm
6618;308.946.649.761;-71 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=417/41217, ttl=64 (request in 6617);172;;192.168.1.106;;-71 dBm
6619;308.948.492.399;-52 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=417/41217, ttl=64;161;;192.168.1.106;;-52 dBm
6622;309.040.053.968;-62 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=472/55297, ttl=64 (no response found!);172;192.168.1.102;;-62 dBm;
6623;309.043.551.403;-53 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=472/55297, ttl=64 (no response found!);161;192.168.1.102;;-53 dBm;
6625;309.043.622.476;-53 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=472/55297, ttl=64 (no response found!);161;192.168.1.102;;-53 dBm;
6626;309.044.987.577;-53 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=472/55297, ttl=64 (no response found!);161;192.168.1.102;;-53 dBm;
6627;309.045.017.227;-53 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=472/55297, ttl=64 (no response found!);161;192.168.1.102;;-53 dBm;
6628;309.045.034.085;-54 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=472/55297, ttl=64 (no response found!);161;192.168.1.102;;-54 dBm;
6629;309.045.706.112;-53 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=472/55297, ttl=64 (no response found!);161;192.168.1.102;;-53 dBm;
6630;309.045.730.432;-53 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=472/55297, ttl=64 (no response found!);161;192.168.1.102;;-53 dBm;
6631;309.046.799.820;-53 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=472/55297, ttl=64 (no response found!);161;192.168.1.102;;-53 dBm;
6632;309.048.419.665;-53 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=472/55297, ttl=64 (reply in 6634);161;192.168.1.102;;-53 dBm;
6634;309.148.177.062;-70 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=472/55297, ttl=64 (request in 6632);172;192.168.1.102;;-70 dBm;
6635;309.150.670.950;-53 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=472/55297, ttl=64;161;192.168.1.102;;-53 dBm;
6636;309.150.696.992;-53 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=472/55297, ttl=64;161;192.168.1.102;;-53 dBm;
6637;309.150.713.423;-52 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=472/55297, ttl=64;161;192.168.1.102;;-52 dBm;
6638;309.152.058.783;-54 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=472/55297, ttl=64;161;192.168.1.102;;-54 dBm;
6639;309.152.084.825;-53 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=472/55297, ttl=64;161;192.168.1.102;;-53 dBm;
6640;309.152.101.233;-52 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=472/55297, ttl=64;161;192.168.1.102;;-52 dBm;
6648;309.739.305.363;-62 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=418/41473, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
6649;309.771.292.353;-53 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=418/41473, ttl=64 (reply in 6650);161;;192.168.1.106;;-53 dBm
6650;309.864.972.307;-70 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=418/41473, ttl=64 (request in 6649);172;;192.168.1.106;;-70 dBm
6651;309.866.977.817;-53 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=418/41473, ttl=64;161;;192.168.1.106;;-53 dBm
6652;310.059.947.337;;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=473/55553, ttl=64 (no response found!);162;192.168.1.102;;0;
6654;310.064.867.169;-53 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=473/55553, ttl=64 (no response found!);161;192.168.1.102;;-53 dBm;
6655;310.064.892.319;-52 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=473/55553, ttl=64 (no response found!);161;192.168.1.102;;-52 dBm;
6656;310.064.910.077;-53 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=473/55553, ttl=64 (reply in 6660);161;192.168.1.102;;-53 dBm;
6660;310.172.855.631;-70 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=473/55553, ttl=64 (request in 6656);172;192.168.1.102;;-70 dBm;
6661;310.174.887.589;-53 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=473/55553, ttl=64;161;192.168.1.102;;-53 dBm;
6668;310.740.895.366;-62 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=419/41729, ttl=64 (no response found!);161;;192.168.1.106;;-62 dBm
6669;310.998.029.538;-52 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=419/41729, ttl=64 (reply in 6682);161;;192.168.1.106;;-52 dBm
