No.;Time;signal strength;Source;Destination;Info;Length;;;S1;S2
75;4.414.908.017;;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=113/28928, ttl=64 (reply in 79);162;;192.168.1.106;;0
76;4.414.935.286;-49 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=168/43008, ttl=64 (reply in 77);172;192.168.1.102;;-49 dBm;
77;4.418.823.214;-71 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=168/43008, ttl=64 (request in 76);172;192.168.1.102;;-71 dBm;
78;4.421.334.976;-49 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=168/43008, ttl=64;161;192.168.1.102;;-49 dBm;
79;4.421.371.328;-48 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=113/28928, ttl=64 (request in 75);161;;192.168.1.106;;-48 dBm
94;5.151.083.371;-64 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=114/29184, ttl=64 (no response found!);161;;192.168.1.106;;-64 dBm
95;5.238.618.147;-62 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=169/43264, ttl=64 (no response found!);172;192.168.1.102;;-62 dBm;
96;5.344.915.963;;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=114/29184, ttl=64 (no response found!);162;;192.168.1.106;;0
97;5.344.943.213;-51 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=169/43264, ttl=64 (no response found!);172;192.168.1.102;;-51 dBm;
98;5.345.182.278;;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=114/29184, ttl=64 (no response found!);162;;192.168.1.106;;0
99;5.345.208.563;-51 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=169/43264, ttl=64 (no response found!);172;192.168.1.102;;-51 dBm;
100;5.345.754.463;;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=114/29184, ttl=64 (reply in 102);162;;192.168.1.106;;0
101;5.345.785.661;-51 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=169/43264, ttl=64 (reply in 104);172;192.168.1.102;;-51 dBm;
102;5.348.993.509;-71 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=114/29184, ttl=64 (request in 100);172;;192.168.1.106;;-71 dBm
103;5.351.639.089;-51 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=114/29184, ttl=64;161;;192.168.1.106;;-51 dBm
104;5.351.685.300;-51 dBm;192.168.1.100;192.168.1.102;Echo (ping) reply    id=0x0b36, seq=169/43264, ttl=64 (request in 101);161;192.168.1.102;;-51 dBm;
113;6.152.133.281;-63 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=115/29440, ttl=64 (no response found!);161;;192.168.1.106;;-63 dBm
114;6.153.459.835;-50 dBm;192.168.1.106;192.168.1.100;Echo (ping) request  id=0x0f94, seq=115/29440, ttl=64 (reply in 115);161;;192.168.1.106;;-50 dBm
115;6.158.874.967;-50 dBm;192.168.1.100;192.168.1.106;Echo (ping) reply    id=0x0f94, seq=115/29440, ttl=64 (request in 114);161;;192.168.1.106;;-50 dBm
116;6.238.582.093;-63 dBm;192.168.1.102;192.168.1.100;Echo (ping) request  id=0x0b36, seq=170/43520, ttl=64 (no response found!);172;192.168.1.102;;-63 dBm;
