S1A1;S2A1;S1C1;S2C1
-53 dBm;-70 dBm;-77 dBm;-76 dBm
-70 dBm;-53 dBm;-53 dBm;-76 dBm
-53 dBm;-61 dBm;-63 dBm;-76 dBm
-63 dBm;-69 dBm;-52 dBm;-53 dBm
-52 dBm;-52 dBm;-76 dBm;-61 dBm
-70 dBm;-62 dBm;-53 dBm;-52 dBm
-52 dBm;-71 dBm;-62 dBm;-76 dBm
-63 dBm;-52 dBm;-52 dBm;-52 dBm
-52 dBm;-62 dBm;-52 dBm;-62 dBm
-71 dBm;-71 dBm;-63 dBm;-53 dBm
-52 dBm;-53 dBm;-53 dBm;-77 dBm
-63 dBm;-61 dBm;-52 dBm;-53 dBm
-53 dBm;-53 dBm;-53 dBm;-61 dBm
-70 dBm;-53 dBm;-53 dBm;-53 dBm
-54 dBm;-70 dBm;-53 dBm;-76 dBm
-52 dBm;-52 dBm;-52 dBm;-52 dBm
-64 dBm;-63 dBm;-62 dBm;-52 dBm
-52 dBm;-52 dBm;-53 dBm;-62 dBm
-70 dBm;-70 dBm;-52 dBm;-52 dBm
-53 dBm;-53 dBm;-52 dBm;-52 dBm
-62 dBm;-63 dBm;-52 dBm;-52 dBm
-53 dBm;-53 dBm;-53 dBm;-54 dBm
-54 dBm;-70 dBm;-77 dBm;-77 dBm
-53 dBm;-53 dBm;-53 dBm;-52 dBm
-68 dBm;-63 dBm;-63 dBm;-62 dBm
-53 dBm;-71 dBm;-52 dBm;-53 dBm
-63 dBm;-53 dBm;-52 dBm;-53 dBm
-52 dBm;-62 dBm;-77 dBm;-61 dBm
-53 dBm;-53 dBm;-52 dBm;-52 dBm
-53 dBm;-71 dBm;-52 dBm;-52 dBm
-53 dBm;-52 dBm;-52 dBm;-52 dBm
-70 dBm;-63 dBm;-63 dBm;-76 dBm
-54 dBm;-52 dBm;-53 dBm;-51 dBm
-63 dBm;-70 dBm;-77 dBm;-61 dBm
-52 dBm;-53 dBm;-52 dBm;-52 dBm
-52 dBm;-63 dBm;-63 dBm;-53 dBm
-69 dBm;-71 dBm;-53 dBm;-52 dBm
-52 dBm;-52 dBm;-52 dBm;-53 dBm
-53 dBm;-63 dBm;-52 dBm;-76 dBm
-52 dBm;-71 dBm;-54 dBm;-52 dBm
-53 dBm;-52 dBm;-53 dBm;-61 dBm
-62 dBm;-62 dBm;-76 dBm;-53 dBm
-52 dBm;-53 dBm;-53 dBm;-77 dBm
-70 dBm;-52 dBm;-62 dBm;-52 dBm
-53 dBm;-70 dBm;-53 dBm;-62 dBm
-52 dBm;-52 dBm;-52 dBm;-62 dBm
-63 dBm;-62 dBm;-76 dBm;-62 dBm
-63 dBm;-70 dBm;-52 dBm;-52 dBm
-53 dBm;-52 dBm;-53 dBm;-76 dBm
-71 dBm;-61 dBm;-62 dBm;-52 dBm
-71 dBm;-52 dBm;-52 dBm;-63 dBm
-71 dBm;-53 dBm;-77 dBm;-53 dBm
-53 dBm;-70 dBm;-53 dBm;-77 dBm
-62 dBm;-53 dBm;-63 dBm;-53 dBm
-53 dBm;-61 dBm;-53 dBm;-62 dBm
-70 dBm;-70 dBm;-76 dBm;-52 dBm
-70 dBm;-52 dBm;-52 dBm;-52 dBm
-53 dBm;-62 dBm;-62 dBm;-52 dBm
-63 dBm;-70 dBm;-53 dBm;-52 dBm
-53 dBm;-53 dBm;-76 dBm;-52 dBm
-52 dBm;-62 dBm;-52 dBm;-77 dBm
-52 dBm;-52 dBm;-62 dBm;-53 dBm
-70 dBm;-71 dBm;-53 dBm;-62 dBm
-52 dBm;-53 dBm;-76 dBm;-53 dBm
-63 dBm;-62 dBm;-53 dBm;-52 dBm
-53 dBm;-71 dBm;-63 dBm;-63 dBm
-71 dBm;-52 dBm;-53 dBm;-52 dBm
-52 dBm;-62 dBm;-76 dBm;-76 dBm
-63 dBm;-52 dBm;-53 dBm;-53 dBm
-53 dBm;-62 dBm;-63 dBm;-62 dBm
-70 dBm;-53 dBm;-53 dBm;-52 dBm
-52 dBm;-53 dBm;-52 dBm;-77 dBm
-52 dBm;-71 dBm;-52 dBm;-54 dBm
-52 dBm;-53 dBm;-63 dBm;-62 dBm
-52 dBm;-62 dBm;-52 dBm;-52 dBm
-53 dBm;-72 dBm;-52 dBm;-53 dBm
-63 dBm;-52 dBm;-52 dBm;-76 dBm
-52 dBm;-61 dBm;-52 dBm;-76 dBm
-71 dBm;-52 dBm;-52 dBm;-53 dBm
-71 dBm;-52 dBm;-53 dBm;-62 dBm
-52 dBm;-71 dBm;-77 dBm;-52 dBm
-52 dBm;-52 dBm;-52 dBm;-52 dBm
-52 dBm;-62 dBm;-63 dBm;-53 dBm
-53 dBm;-72 dBm;-53 dBm;-53 dBm
-53 dBm;-52 dBm;-53 dBm;-52 dBm
-52 dBm;-62 dBm;-53 dBm;-53 dBm
-62 dBm;-71 dBm;-76 dBm;-63 dBm
-52 dBm;-52 dBm;-53 dBm;-54 dBm
-70 dBm;-62 dBm;-53 dBm;-76 dBm
-51 dBm;-53 dBm;-52 dBm;-52 dBm
-63 dBm;-71 dBm;-63 dBm;-62 dBm
-53 dBm;-53 dBm;-53 dBm;-61 dBm
-70 dBm;-61 dBm;-53 dBm;-61 dBm
-52 dBm;-72 dBm;-76 dBm;-52 dBm
-62 dBm;-52 dBm;-53 dBm;-52 dBm
-53 dBm;-62 dBm;-62 dBm;-52 dBm
-52 dBm;-54 dBm;-52 dBm;-52 dBm
-52 dBm;-72 dBm;-77 dBm;-52 dBm
-52 dBm;-53 dBm;-53 dBm;-52 dBm
-52 dBm;-62 dBm;-52 dBm;-53 dBm
-53 dBm;-71 dBm;-52 dBm;-61 dBm
-52 dBm;-53 dBm;-63 dBm;-53 dBm
-70 dBm;-62 dBm;-52 dBm;-53 dBm
-52 dBm;-71 dBm;-52 dBm;-62 dBm
-63 dBm;-51 dBm;-76 dBm;-53 dBm
-53 dBm;-61 dBm;-52 dBm;-77 dBm
-70 dBm;-53 dBm;-63 dBm;-53 dBm
-53 dBm;-53 dBm;-54 dBm;-61 dBm
-62 dBm;-61 dBm;-77 dBm;-52 dBm
-52 dBm;-53 dBm;-52 dBm;-53 dBm
-70 dBm;-52 dBm;-53 dBm;-61 dBm
-52 dBm;-53 dBm;-63 dBm;-53 dBm
-53 dBm;-52 dBm;-53 dBm;-53 dBm
-63 dBm;-72 dBm;-52 dBm;-53 dBm
-52 dBm;-72 dBm;-76 dBm;-53 dBm
-70 dBm;-53 dBm;-52 dBm;-52 dBm
-53 dBm;-61 dBm;-53 dBm;-52 dBm
-63 dBm;-52 dBm;-54 dBm;-52 dBm
-52 dBm;-62 dBm;-62 dBm;-61 dBm
-70 dBm;-72 dBm;-52 dBm;-53 dBm
-53 dBm;-52 dBm;-53 dBm;-76 dBm
-53 dBm;-61 dBm;-52 dBm;-52 dBm
-63 dBm;-71 dBm;-52 dBm;-53 dBm
-52 dBm;-52 dBm;-52 dBm;-61 dBm
-52 dBm;-61 dBm;-53 dBm;-53 dBm
-70 dBm;-52 dBm;-76 dBm;-53 dBm
-53 dBm;-52 dBm;-53 dBm;-53 dBm
-63 dBm;-52 dBm;-63 dBm;-53 dBm
-53 dBm;-53 dBm;-53 dBm;-76 dBm
-70 dBm;-53 dBm;-53 dBm;-53 dBm
-70 dBm;-52 dBm;-54 dBm;-52 dBm
-52 dBm;-52 dBm;-53 dBm;-52 dBm
-53 dBm;-61 dBm;-53 dBm;-52 dBm
-63 dBm;-53 dBm;-52 dBm;-62 dBm
-52 dBm;-53 dBm;-77 dBm;-53 dBm
-70 dBm;-62 dBm;-77 dBm;-76 dBm
-53 dBm;-52 dBm;-76 dBm;-52 dBm
-62 dBm;-52 dBm;-52 dBm;-62 dBm
-53 dBm;-62 dBm;-63 dBm;-53 dBm
-72 dBm;-53 dBm;-52 dBm;-76 dBm
-51 dBm;-62 dBm;-53 dBm;-52 dBm
-52 dBm;-52 dBm;-52 dBm;-62 dBm
-63 dBm;-54 dBm;-63 dBm;-53 dBm
-53 dBm;-72 dBm;-53 dBm;-77 dBm
-52 dBm;-53 dBm;-53 dBm;-52 dBm
-71 dBm;-62 dBm;-53 dBm;-62 dBm
-53 dBm;-52 dBm;-53 dBm;-53 dBm
-52 dBm;-52 dBm;-52 dBm;-77 dBm
-54 dBm;-52 dBm;-53 dBm;-53 dBm
-62 dBm;-52 dBm;-53 dBm;-62 dBm
-53 dBm;-53 dBm;-52 dBm;-53 dBm
-71 dBm;-51 dBm;-52 dBm;-53 dBm
-53 dBm;-72 dBm;-53 dBm;-53 dBm
-63 dBm;-53 dBm;-63 dBm;-52 dBm
-52 dBm;-61 dBm;-63 dBm;-52 dBm
-53 dBm;-53 dBm;-53 dBm;-76 dBm
-53 dBm;-62 dBm;-53 dBm;-53 dBm
-53 dBm;-53 dBm;-63 dBm;-61 dBm
-53 dBm;-71 dBm;-52 dBm;-53 dBm
-52 dBm;-52 dBm;-52 dBm;-53 dBm
-71 dBm;-62 dBm;-63 dBm;-53 dBm
-53 dBm;-62 dBm;-53 dBm;-52 dBm
-53 dBm;-62 dBm;-52 dBm;-52 dBm
-63 dBm;-52 dBm;-52 dBm;-76 dBm
-52 dBm;-60 dBm;-53 dBm;-52 dBm
-71 dBm;-62 dBm;-53 dBm;-62 dBm
-53 dBm;-52 dBm;-76 dBm;-53 dBm
-52 dBm;-62 dBm;-53 dBm;-77 dBm
-63 dBm;-52 dBm;-53 dBm;-53 dBm
-52 dBm;-53 dBm;-53 dBm;-61 dBm
-52 dBm;-72 dBm;-63 dBm;-52 dBm
-71 dBm;-52 dBm;-52 dBm;-77 dBm
-52 dBm;-62 dBm;-76 dBm;-52 dBm
-63 dBm;-52 dBm;-52 dBm;-61 dBm
-52 dBm;-52 dBm;-63 dBm;-52 dBm
-71 dBm;-52 dBm;-53 dBm;-53 dBm
-53 dBm;-71 dBm;-52 dBm;-52 dBm
-63 dBm;-52 dBm;-53 dBm;-53 dBm
-52 dBm;-53 dBm;-76 dBm;-52 dBm
-71 dBm;-53 dBm;-52 dBm;-52 dBm
-53 dBm;-52 dBm;-53 dBm;-76 dBm
-63 dBm;-53 dBm;-53 dBm;-53 dBm
-53 dBm;-52 dBm;-63 dBm;-62 dBm
-52 dBm;-62 dBm;-53 dBm;-52 dBm
-63 dBm;-53 dBm;-76 dBm;-52 dBm
-52 dBm;-51 dBm;-53 dBm;-53 dBm
-53 dBm;-72 dBm;-63 dBm;-53 dBm
-54 dBm;-53 dBm;-52 dBm;-52 dBm
-63 dBm;-63 dBm;-77 dBm;-76 dBm
-52 dBm;-53 dBm;-53 dBm;-53 dBm
-71 dBm;-71 dBm;-54 dBm;-62 dBm
-53 dBm;-71 dBm;-54 dBm;-53 dBm
-52 dBm;-52 dBm;-63 dBm;-52 dBm
-53 dBm;-62 dBm;-52 dBm;-52 dBm
-52 dBm;-53 dBm;-76 dBm;-52 dBm
-51 dBm;-52 dBm;-76 dBm;-53 dBm
-63 dBm;-72 dBm;-53 dBm;-53 dBm
-52 dBm;-71 dBm;-62 dBm;-62 dBm
-53 dBm;-53 dBm;-52 dBm;-52 dBm
-72 dBm;-61 dBm;-76 dBm;-53 dBm
-52 dBm;-53 dBm;-53 dBm;-52 dBm
-63 dBm;-61 dBm;-62 dBm;-52 dBm
-52 dBm;-53 dBm;-52 dBm;-61 dBm
-53 dBm;-61 dBm;-51 dBm;-52 dBm
-54 dBm;-62 dBm;-53 dBm;-76 dBm
-52 dBm;-72 dBm;-77 dBm;-52 dBm
-53 dBm;-53 dBm;-51 dBm;-61 dBm
-54 dBm;-62 dBm;-63 dBm;-53 dBm
-52 dBm;-52 dBm;-53 dBm;-76 dBm
-62 dBm;-52 dBm;-76 dBm;-76 dBm
-52 dBm;-62 dBm;-53 dBm;-52 dBm
-71 dBm;-54 dBm;-53 dBm;-61 dBm
-53 dBm;-62 dBm;-52 dBm;-53 dBm
-63 dBm;-72 dBm;-53 dBm;-53 dBm
-52 dBm;-52 dBm;-53 dBm;-53 dBm
-53 dBm;-62 dBm;-63 dBm;-52 dBm
-52 dBm;-52 dBm;-52 dBm;-77 dBm
-53 dBm;-71 dBm;-53 dBm;-54 dBm
-53 dBm;-53 dBm;-53 dBm;-61 dBm
-62 dBm;-63 dBm;-52 dBm;-52 dBm
-52 dBm;-52 dBm;-53 dBm;-76 dBm
-72 dBm;-71 dBm;-53 dBm;-53 dBm
-51 dBm;-71 dBm;-52 dBm;-61 dBm
-63 dBm;-52 dBm;-63 dBm;-54 dBm
-53 dBm;-62 dBm;-52 dBm;-77 dBm
-52 dBm;-52 dBm;-76 dBm;-77 dBm
-62 dBm;-62 dBm;-52 dBm;-76 dBm
-54 dBm;-70 dBm;-63 dBm;-52 dBm
-71 dBm;-53 dBm;-52 dBm;-62 dBm
-53 dBm;-62 dBm;-52 dBm;-52 dBm
-53 dBm;-53 dBm;-54 dBm;-53 dBm
-53 dBm;-70 dBm;-63 dBm;-52 dBm
-52 dBm;-53 dBm;-52 dBm;-53 dBm
-62 dBm;-62 dBm;-77 dBm;-53 dBm
-52 dBm;-52 dBm;-77 dBm;-77 dBm
-72 dBm;-72 dBm;-53 dBm;-77 dBm
-53 dBm;-53 dBm;-63 dBm;-53 dBm
-63 dBm;-62 dBm;-53 dBm;-61 dBm
-52 dBm;-52 dBm;-52 dBm;-53 dBm
-51 dBm;-53 dBm;-63 dBm;-76 dBm
-52 dBm;-52 dBm;-52 dBm;-53 dBm
-71 dBm;-53 dBm;-52 dBm;-61 dBm
-52 dBm;-72 dBm;-76 dBm;-52 dBm
-52 dBm;-72 dBm;-52 dBm;-52 dBm
-52 dBm;-52 dBm;-52 dBm;-76 dBm
-62 dBm;-62 dBm;-63 dBm;-52 dBm
-53 dBm;-72 dBm;-53 dBm;-61 dBm
-52 dBm;-53 dBm;-76 dBm;-53 dBm
-52 dBm;-62 dBm;-52 dBm;-52 dBm
-52 dBm;-53 dBm;-62 dBm;-62 dBm
-52 dBm;-72 dBm;-52 dBm;-52 dBm
-72 dBm;-52 dBm;-52 dBm;-76 dBm
-53 dBm;-62 dBm;-52 dBm;-52 dBm
-62 dBm;-62 dBm;-53 dBm;-62 dBm
-53 dBm;-70 dBm;-53 dBm;-53 dBm
-72 dBm;-54 dBm;-52 dBm;-52 dBm
-53 dBm;-62 dBm;-77 dBm;-76 dBm
-63 dBm;-52 dBm;-52 dBm;-52 dBm
-52 dBm;-70 dBm;-62 dBm;-62 dBm
-71 dBm;-53 dBm;-52 dBm;-53 dBm
-53 dBm;-62 dBm;-76 dBm;-77 dBm
-63 dBm;-53 dBm;-53 dBm;-52 dBm
-53 dBm;-63 dBm;-63 dBm;-62 dBm
-71 dBm;-52 dBm;-53 dBm;-63 dBm
-53 dBm;-54 dBm;-76 dBm;-63 dBm
-62 dBm;-71 dBm;-53 dBm;-52 dBm
-63 dBm;-54 dBm;-62 dBm;-77 dBm
-53 dBm;-63 dBm;-52 dBm;-53 dBm
